sentence_id,sentence,source,subject,relation,object
15,"In 1915, he proposed a general theory of relativity that extended his system of mechanics to incorporate gravitation.",Albert Einstein,he,incorporated,gravitation
16,A paper that he published the following year laid out the implications of general relativity for the modeling of the structure and evolution of the universe as a whole.,Albert Einstein,paper,was published by,he
16,A paper that he published the following year laid out the implications of general relativity for the modeling of the structure and evolution of the universe as a whole.,Albert Einstein,paper,laid out,implications of general relativity
16,A paper that he published the following year laid out the implications of general relativity for the modeling of the structure and evolution of the universe as a whole.,Albert Einstein,implications of general relativity,are for,modeling of the structure and evolution of the universe as a whole
17,It introduced the cosmological constant and is further regarded as the first step in the field of modern theoretical cosmology.,Albert Einstein,,,
18,"In 1917, Einstein wrote a paper which introduced the concepts of spontaneous emission and stimulated emission, the latter of which is the core mechanism behind the laser and maser, and which contained a trove of information that would be beneficial to developments in physics later on, such as quantum electrodynamics and quantum optics.",Albert Einstein,Einstein,wrote,a paper
18,"In 1917, Einstein wrote a paper which introduced the concepts of spontaneous emission and stimulated emission, the latter of which is the core mechanism behind the laser and maser, and which contained a trove of information that would be beneficial to developments in physics later on, such as quantum electrodynamics and quantum optics.",Albert Einstein,Einstein,introduced,the concepts of spontaneous emission and stimulated emission
18,"In 1917, Einstein wrote a paper which introduced the concepts of spontaneous emission and stimulated emission, the latter of which is the core mechanism behind the laser and maser, and which contained a trove of information that would be beneficial to developments in physics later on, such as quantum electrodynamics and quantum optics.",Albert Einstein,the concepts of spontaneous emission and stimulated emission,is,the core mechanism behind the laser and maser
18,"In 1917, Einstein wrote a paper which introduced the concepts of spontaneous emission and stimulated emission, the latter of which is the core mechanism behind the laser and maser, and which contained a trove of information that would be beneficial to developments in physics later on, such as quantum electrodynamics and quantum optics.",Albert Einstein,the paper,contained,a trove of information that would be beneficial to developments in physics later on
18,"In 1917, Einstein wrote a paper which introduced the concepts of spontaneous emission and stimulated emission, the latter of which is the core mechanism behind the laser and maser, and which contained a trove of information that would be beneficial to developments in physics later on, such as quantum electrodynamics and quantum optics.",Albert Einstein,a trove of information that would be beneficial to developments in physics later on,would be beneficial to,developments in physics later on
18,"In 1917, Einstein wrote a paper which introduced the concepts of spontaneous emission and stimulated emission, the latter of which is the core mechanism behind the laser and maser, and which contained a trove of information that would be beneficial to developments in physics later on, such as quantum electrodynamics and quantum optics.",Albert Einstein,a trove of information that would be beneficial to developments in physics later on,is related to,quantum electrodynamics and quantum optics
19,"In the middle part of his career, Einstein made important contributions to statistical mechanics and quantum theory.",Albert Einstein,Einstein,made contributions to,statistical mechanics
19,"In the middle part of his career, Einstein made important contributions to statistical mechanics and quantum theory.",Albert Einstein,Einstein,made contributions to,quantum theory
20,"Especially notable was his work on the quantum physics of radiation, in which light consists of particles, subsequently called photons.",Albert Einstein,his work,was notable for,the quantum physics of radiation
20,"Especially notable was his work on the quantum physics of radiation, in which light consists of particles, subsequently called photons.",Albert Einstein,light,consists of,particles
20,"Especially notable was his work on the quantum physics of radiation, in which light consists of particles, subsequently called photons.",Albert Einstein,particles,were subsequently called,photons
21,"With physicist Satyendra Nath Bose, he laid the groundwork for Bose–Einstein statistics.",Albert Einstein,he,laid the groundwork for,Bose–Einstein statistics
21,"With physicist Satyendra Nath Bose, he laid the groundwork for Bose–Einstein statistics.",Albert Einstein,he,laid the groundwork for,physicist Satyendra Nath Bose
22,"For much of the last phase of his academic life, Einstein worked on two endeavors that ultimately proved unsuccessful.",Albert Einstein,,,
23,"First, he advocated against quantum theory's introduction of fundamental randomness into science's picture of the world, objecting that ""God does not play dice"".",Albert Einstein,he,advocated against,quantum theory's introduction of fundamental randomness into science's picture of the world
23,"First, he advocated against quantum theory's introduction of fundamental randomness into science's picture of the world, objecting that ""God does not play dice"".",Albert Einstein,he,objected that,God does not play dice
24,"Second, he attempted to devise a unified field theory by generalizing his geometric theory of gravitation to include electromagnetism.",Albert Einstein,,,
25,"As a result, he became increasingly isolated from mainstream modern physics.",Albert Einstein,,,
26,"Many things are named after him, including the element Einsteinium.",Albert Einstein,Einsteinium,is named after,him
27,"In 1999, he was named Time's Person of the Century.",Albert Einstein,he,was named,Time's Person of the Century
28,"Life and career
Childhood, youth and education
Einstein was born in Ulm as a subject to the Kingdom of Württemberg in the German Empire on 14 March 1879.",Albert Einstein,Einstein,was born in,Ulm
28,"Life and career
Childhood, youth and education
Einstein was born in Ulm as a subject to the Kingdom of Württemberg in the German Empire on 14 March 1879.",Albert Einstein,Einstein,was a subject to,the Kingdom of Württemberg
28,"Life and career
Childhood, youth and education
Einstein was born in Ulm as a subject to the Kingdom of Württemberg in the German Empire on 14 March 1879.",Albert Einstein,Einstein,was in,the German Empire
29,"His parents, secular Ashkenazi Jews, were Hermann Einstein, a salesman and engineer, and Pauline Koch.",Albert Einstein,Hermann Einstein,is a parent of,His parents
29,"His parents, secular Ashkenazi Jews, were Hermann Einstein, a salesman and engineer, and Pauline Koch.",Albert Einstein,Hermann Einstein,is a parent of,Ashkenazi Jews
29,"His parents, secular Ashkenazi Jews, were Hermann Einstein, a salesman and engineer, and Pauline Koch.",Albert Einstein,Hermann Einstein,is a parent of,Pauline Koch
29,"His parents, secular Ashkenazi Jews, were Hermann Einstein, a salesman and engineer, and Pauline Koch.",Albert Einstein,Pauline Koch,is a parent of,His parents
29,"His parents, secular Ashkenazi Jews, were Hermann Einstein, a salesman and engineer, and Pauline Koch.",Albert Einstein,Pauline Koch,is a parent of,Ashkenazi Jews
29,"His parents, secular Ashkenazi Jews, were Hermann Einstein, a salesman and engineer, and Pauline Koch.",Albert Einstein,Pauline Koch,is a parent of,Hermann Einstein
30,"In 1880, the family moved to Munich's borough of Ludwigsvorstadt-Isarvorstadt, where Einstein's father and his uncle Jakob founded Elektrotechnische Fabrik J. Einstein & Cie, a company that manufactured electrical equipment based on direct current.",Albert Einstein,Einstein's father,founded,Elektrotechnische Fabrik J. Einstein & Cie
30,"In 1880, the family moved to Munich's borough of Ludwigsvorstadt-Isarvorstadt, where Einstein's father and his uncle Jakob founded Elektrotechnische Fabrik J. Einstein & Cie, a company that manufactured electrical equipment based on direct current.",Albert Einstein,Einstein's father,and his uncle Jakob,founded
30,"In 1880, the family moved to Munich's borough of Ludwigsvorstadt-Isarvorstadt, where Einstein's father and his uncle Jakob founded Elektrotechnische Fabrik J. Einstein & Cie, a company that manufactured electrical equipment based on direct current.",Albert Einstein,Einstein's father and his uncle Jakob,founded,Elektrotechnische Fabrik J. Einstein & Cie
30,"In 1880, the family moved to Munich's borough of Ludwigsvorstadt-Isarvorstadt, where Einstein's father and his uncle Jakob founded Elektrotechnische Fabrik J. Einstein & Cie, a company that manufactured electrical equipment based on direct current.",Albert Einstein,Einstein's father and his uncle Jakob,founded,a company
30,"In 1880, the family moved to Munich's borough of Ludwigsvorstadt-Isarvorstadt, where Einstein's father and his uncle Jakob founded Elektrotechnische Fabrik J. Einstein & Cie, a company that manufactured electrical equipment based on direct current.",Albert Einstein,Einstein's father and his uncle Jakob,manufactured,electrical equipment
30,"In 1880, the family moved to Munich's borough of Ludwigsvorstadt-Isarvorstadt, where Einstein's father and his uncle Jakob founded Elektrotechnische Fabrik J. Einstein & Cie, a company that manufactured electrical equipment based on direct current.",Albert Einstein,Einstein's father and his uncle Jakob,manufactured,based on direct current
30,"In 1880, the family moved to Munich's borough of Ludwigsvorstadt-Isarvorstadt, where Einstein's father and his uncle Jakob founded Elektrotechnische Fabrik J. Einstein & Cie, a company that manufactured electrical equipment based on direct current.",Albert Einstein,Einstein's father and his uncle Jakob,manufactured,electrical equipment based on direct current
30,"In 1880, the family moved to Munich's borough of Ludwigsvorstadt-Isarvorstadt, where Einstein's father and his uncle Jakob founded Elektrotechnische Fabrik J. Einstein & Cie, a company that manufactured electrical equipment based on direct current.",Albert Einstein,Einstein's father and his uncle Jakob,founded,a company that manufactured electrical equipment based on direct current
30,"In 1880, the family moved to Munich's borough of Ludwigsvorstadt-Isarvorstadt, where Einstein's father and his uncle Jakob founded Elektrotechnische Fabrik J. Einstein & Cie, a company that manufactured electrical equipment based on direct current.",Albert Einstein,Einstein's father and his uncle Jakob,founded Elektrotechnische Fabrik J. Einstein & Cie,a company that manufactured electrical equipment based on direct current
30,"In 1880, the family moved to Munich's borough of Ludwigsvorstadt-Isarvorstadt, where Einstein's father and his uncle Jakob founded Elektrotechnische Fabrik J. Einstein & Cie, a company that manufactured electrical equipment based on direct current.",Albert Einstein,Einstein's father and his uncle Jakob,founded Elektrotechnische Fabrik J. Einstein & Cie,in Munich's borough of Ludwigsvorstadt-Isarvorstadt
30,"In 1880, the family moved to Munich's borough of Ludwigsvorstadt-Isarvorstadt, where Einstein's father and his uncle Jakob founded Elektrotechnische Fabrik J. Einstein & Cie, a company that manufactured electrical equipment based on direct current.",Albert Einstein,Einstein's father and his uncle Jakob,founded Elektrotechnische Fabrik J. Einstein & Cie,in 1880
31,"When he was very young, his parents worried that he had a learning disability because he was very slow to learn to talk.",Albert Einstein,he,was very slow to learn to talk,to talk
31,"When he was very young, his parents worried that he had a learning disability because he was very slow to learn to talk.",Albert Einstein,he,had,a learning disability
31,"When he was very young, his parents worried that he had a learning disability because he was very slow to learn to talk.",Albert Einstein,his parents,worried,that he had a learning disability
32,"When he was five and sick in bed, his father brought him a compass.",Albert Einstein,he,was,five
32,"When he was five and sick in bed, his father brought him a compass.",Albert Einstein,he,was,sick in bed
32,"When he was five and sick in bed, his father brought him a compass.",Albert Einstein,his father,brought,him
32,"When he was five and sick in bed, his father brought him a compass.",Albert Einstein,his father,brought,a compass
33,This sparked his lifelong fascination with electromagnetism.,Albert Einstein,,,
34,"He realized that ""Something deeply hidden had to be behind things.",Albert Einstein,,,
35,"""
Einstein attended St. Peter's Catholic elementary school in Munich from the age of five.",Albert Einstein,Einstein,attended,St. Peter's Catholic elementary school
35,"""
Einstein attended St. Peter's Catholic elementary school in Munich from the age of five.",Albert Einstein,Einstein,was from,Munich
35,"""
Einstein attended St. Peter's Catholic elementary school in Munich from the age of five.",Albert Einstein,Einstein,was,five years old
36,"When he was eight, he was transferred to the Luitpold Gymnasium, where he received advanced primary and then secondary school education.",Albert Einstein,he,was transferred to,the Luitpold Gymnasium
36,"When he was eight, he was transferred to the Luitpold Gymnasium, where he received advanced primary and then secondary school education.",Albert Einstein,he,received,advanced primary and then secondary school education
37,"In 1894, Hermann and Jakob's company tendered for a contract to install electric lighting in Munich, but without success—they lacked the capital that would have been required to update their technology from direct current to the more efficient, alternating current alternative.",Albert Einstein,Hermann and Jakob's company,tendered for,a contract to install electric lighting in Munich
37,"In 1894, Hermann and Jakob's company tendered for a contract to install electric lighting in Munich, but without success—they lacked the capital that would have been required to update their technology from direct current to the more efficient, alternating current alternative.",Albert Einstein,Hermann and Jakob's company,lacked,"the capital that would have been required to update their technology from direct current to the more efficient, alternating current alternative"
38,The failure of their bid forced them to sell their Munich factory and search for new opportunities elsewhere.,Albert Einstein,them,were forced to sell,their Munich factory
38,The failure of their bid forced them to sell their Munich factory and search for new opportunities elsewhere.,Albert Einstein,them,had to search for,new opportunities elsewhere
39,"The Einstein family moved to Italy, first to Milan and a few months later to Pavia, where they settled in Palazzo Cornazzani.",Albert Einstein,Einstein family,moved to,Italy
39,"The Einstein family moved to Italy, first to Milan and a few months later to Pavia, where they settled in Palazzo Cornazzani.",Albert Einstein,Einstein family,moved to,Milan
39,"The Einstein family moved to Italy, first to Milan and a few months later to Pavia, where they settled in Palazzo Cornazzani.",Albert Einstein,Einstein family,moved to,Pavia
39,"The Einstein family moved to Italy, first to Milan and a few months later to Pavia, where they settled in Palazzo Cornazzani.",Albert Einstein,Einstein family,settled in,Palazzo Cornazzani
40,"Einstein, then fifteen, stayed behind in Munich in order to finish his schooling.",Albert Einstein,Einstein,was fifteen,then
40,"Einstein, then fifteen, stayed behind in Munich in order to finish his schooling.",Albert Einstein,Einstein,stayed behind in,Munich
40,"Einstein, then fifteen, stayed behind in Munich in order to finish his schooling.",Albert Einstein,Einstein,finished,his schooling
41,"Questions and Answers on Albert Einstein
A lbert Einstein was born at Ulm, in Württemberg, Germany, on March 14, 1879.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Albert Einstein,was born at,Ulm
41,"Questions and Answers on Albert Einstein
A lbert Einstein was born at Ulm, in Württemberg, Germany, on March 14, 1879.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Albert Einstein,was born in,Württemberg
41,"Questions and Answers on Albert Einstein
A lbert Einstein was born at Ulm, in Württemberg, Germany, on March 14, 1879.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Albert Einstein,was born in,Germany
42,"Six weeks later the family moved to Munich, where he later on began his schooling at the Luitpold Gymnasium.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,he,began,his schooling
42,"Six weeks later the family moved to Munich, where he later on began his schooling at the Luitpold Gymnasium.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,he,began,schooling at the Luitpold Gymnasium
42,"Six weeks later the family moved to Munich, where he later on began his schooling at the Luitpold Gymnasium.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,the family,moved to,Munich
43,"Later, they moved to Italy and Albert continued his education at Aarau, Switzerland and in 1896 he entered the Swiss Federal Polytechnic School in Zurich to be trained as a teacher in physics and mathematics.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Albert,continued his education at,"Aarau, Switzerland"
43,"Later, they moved to Italy and Albert continued his education at Aarau, Switzerland and in 1896 he entered the Swiss Federal Polytechnic School in Zurich to be trained as a teacher in physics and mathematics.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Albert,entered,the Swiss Federal Polytechnic School in Zurich
44,"In 1901, the year he gained his diploma, he acquired Swiss citizenship and, as he was unable to find a teaching post, he accepted a position as technical assistant in the Swiss Patent Office.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,he,acquired,Swiss citizenship
44,"In 1901, the year he gained his diploma, he acquired Swiss citizenship and, as he was unable to find a teaching post, he accepted a position as technical assistant in the Swiss Patent Office.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,he,accepted,a position as technical assistant in the Swiss Patent Office
45,In 1905 he obtained his doctor’s degree.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,he,obtained,his doctor’s degree
46,"During his stay at the Patent Office, and in his spare time, he produced much of his remarkable work and in 1908 he was appointed Privatdozent in Berne.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,he,produced,his remarkable work
46,"During his stay at the Patent Office, and in his spare time, he produced much of his remarkable work and in 1908 he was appointed Privatdozent in Berne.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,he,was appointed,Privatdozent in Berne
46,"During his stay at the Patent Office, and in his spare time, he produced much of his remarkable work and in 1908 he was appointed Privatdozent in Berne.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,he,was appointed,Privatdozent
46,"During his stay at the Patent Office, and in his spare time, he produced much of his remarkable work and in 1908 he was appointed Privatdozent in Berne.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,he,stayed at,the Patent Office
47,"In 1909 he became Professor Extraordinary at Zurich, in 1911 Professor of Theoretical Physics at Prague, returning to Zurich in the following year to fill a similar post.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,he,became,Professor Extraordinary at Zurich
47,"In 1909 he became Professor Extraordinary at Zurich, in 1911 Professor of Theoretical Physics at Prague, returning to Zurich in the following year to fill a similar post.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,he,became,Professor of Theoretical Physics at Prague
47,"In 1909 he became Professor Extraordinary at Zurich, in 1911 Professor of Theoretical Physics at Prague, returning to Zurich in the following year to fill a similar post.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,he,returned to,Zurich
48,In 1914 he was appointed Director of the Kaiser Wilhelm Physical Institute and Professor in the University of Berlin.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,he,was appointed Director of,the Kaiser Wilhelm Physical Institute
48,In 1914 he was appointed Director of the Kaiser Wilhelm Physical Institute and Professor in the University of Berlin.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,he,was appointed Professor in,the University of Berlin
49,He became a German citizen in 1914 and remained in Berlin until 1933 when he renounced his citizenship for political reasons and emigrated to America to take the position of Professor of Theoretical Physics at Princeton * .,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,He,became a German citizen in,1914
49,He became a German citizen in 1914 and remained in Berlin until 1933 when he renounced his citizenship for political reasons and emigrated to America to take the position of Professor of Theoretical Physics at Princeton * .,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,He,remained in,Berlin
49,He became a German citizen in 1914 and remained in Berlin until 1933 when he renounced his citizenship for political reasons and emigrated to America to take the position of Professor of Theoretical Physics at Princeton * .,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,He,renounced his citizenship for,political reasons
49,He became a German citizen in 1914 and remained in Berlin until 1933 when he renounced his citizenship for political reasons and emigrated to America to take the position of Professor of Theoretical Physics at Princeton * .,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,He,emigrated to,America
49,He became a German citizen in 1914 and remained in Berlin until 1933 when he renounced his citizenship for political reasons and emigrated to America to take the position of Professor of Theoretical Physics at Princeton * .,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,He,took the position of,Professor of Theoretical Physics at Princeton
50,He became a United States citizen in 1940 and retired from his post in 1945.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,He,became a,United States citizen
50,He became a United States citizen in 1940 and retired from his post in 1945.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,He,retired from,his post
51,"After World War II, Einstein was a leading figure in the World Government Movement, he was offered the Presidency of the State of Israel, which he declined, and he collaborated with Dr. Chaim Weizmann in establishing the Hebrew University of Jerusalem.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Einstein,was a leading figure in,World Government Movement
51,"After World War II, Einstein was a leading figure in the World Government Movement, he was offered the Presidency of the State of Israel, which he declined, and he collaborated with Dr. Chaim Weizmann in establishing the Hebrew University of Jerusalem.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Einstein,was offered the Presidency of,State of Israel
51,"After World War II, Einstein was a leading figure in the World Government Movement, he was offered the Presidency of the State of Israel, which he declined, and he collaborated with Dr. Chaim Weizmann in establishing the Hebrew University of Jerusalem.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Einstein,declined,Presidency of State of Israel
51,"After World War II, Einstein was a leading figure in the World Government Movement, he was offered the Presidency of the State of Israel, which he declined, and he collaborated with Dr. Chaim Weizmann in establishing the Hebrew University of Jerusalem.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Einstein,collaborated with,Dr. Chaim Weizmann
51,"After World War II, Einstein was a leading figure in the World Government Movement, he was offered the Presidency of the State of Israel, which he declined, and he collaborated with Dr. Chaim Weizmann in establishing the Hebrew University of Jerusalem.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Einstein,collaborated in establishing,Hebrew University of Jerusalem
51,"After World War II, Einstein was a leading figure in the World Government Movement, he was offered the Presidency of the State of Israel, which he declined, and he collaborated with Dr. Chaim Weizmann in establishing the Hebrew University of Jerusalem.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Einstein,collaborated with Dr. Chaim Weizmann in establishing,Hebrew University of Jerusalem
52,Einstein always appeared to have a clear view of the problems of physics and the determination to solve them.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,,,
53,He had a strategy of his own and was able to visualize the main stages on the way to his goal.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,,,
54,He regarded his major achievements as mere stepping-stones for the next advance.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,,,
55,"At the start of his scientific work, Einstein realized the inadequacies of Newtonian mechanics and his special theory of relativity stemmed from an attempt to reconcile the laws of mechanics with the laws of the electromagnetic field.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Einstein,realized,the inadequacies of Newtonian mechanics
