original,canonical
select,select
serves as the basis for,serves as the basis for
set out to apply the idea to,set out to apply the idea to
shared the nobel prize in physiology or medicine,shared the nobel prize in physiology or medicine
showed,showed
speculating on the origin of the solar system in his book,speculating on the origin of the solar system in his book
stayed behind in,stayed behind in
submitted,submitted
tendered for,tendered for
testified in the,testified in the
tips the scales at,tips the scales at
traps,traps
treat,treated
treated,treated
use,will be used
uses,will be used
will be used,will be used
used,used
used in,used in
used the term,used the term
used the term in his 1988 testimony in the,used the term in his 1988 testimony in the
used the term in his testimony,used the term in his 1988 testimony in the
used to culture,used to culture
usually have,usually have
was,was
was before,was
was a leading figure in,was a leading figure in
was a major centre of,was a major centre of
was a student of,was a student of
was a subject to,was a subject to
was aged around five,was fifteen
was at the age of,was fifteen
was fifteen,was fifteen
was appointed professor in,was appointed professor in
was awarded fellowships or memberships of,was awarded fellowships or memberships of
was born as a subject to,born in
was born to,was born to
was born at,was born at
was born in,born in
was buried in,was buried in
was laid to rest beside,was buried in
was by,was by
was carried out as,was carried out as
was coined in,was coined in
was conducted through,was conducted through
was designated as,was designated as
was established in,was designated as
was designated in,was designated in
was discovered as,was discovered as
was erected over,was erected over
was exposed to,was exposed to
was far more consequential for the economy of,was far more consequential for the economy of
was filled with,was filled with
was formally associated with,was formally associated with
was from,was from
was given a solution by,was given a solution by
was identified by,was identified in
was identified in,was identified in
was in,was in
was invented for,was invented for
was isolated in,was isolated in
was known as,was known as
was known to,was known to
was never a singular east-west trade route that linked,was never a singular east-west trade route that linked
was offered the presidency of,was offered the presidency of
was one-half of the value that,was one-half of the value that
was standardised against,was standardised against
was the spirit,was the spirit
was used as early as,was used as early as
was used in,was used in
was used to treat,was used to treat
was very slow to learn to talk,was very slow to learn to talk
was visiting,was visiting
was widely sought after in,was widely sought after in
went through multiple cycles of optimism throughout its history,went through multiple cycles of optimism throughout its history
were among the first medications,were among the first medications
were effective against,were effective against
were first used for,were first used for
were subsequently called,were subsequently called
worried,worried
would be beneficial to,would be beneficial to
would first identify who is in need of,would first identify who is in need of
would refer them to,would refer them to
made important contributions to,contributed to
made significant contributions to,contributed to
born in,born in
affiliated with,affiliated with
is a member of,affiliated with
became head of,led
served as director of,led
is a kind of,is a
received the 1921 nobel prize in physics for,received award
received the nobel prize in physics,received award
co-authored,published
authored,published
formulated,introduced
is regarded as,known for
identified,discovered
is situated in,located in
studied at,enrolled in
graduated from,graduated in
passed away in,died in
