id,sentence,source,source_type,category
21,"With physicist Satyendra Nath Bose, he laid the groundwork for Bose–Einstein statistics.",Albert Einstein,wikipedia,science
22,"For much of the last phase of his academic life, Einstein worked on two endeavors that ultimately proved unsuccessful.",Albert Einstein,wikipedia,science
23,"First, he advocated against quantum theory's introduction of fundamental randomness into science's picture of the world, objecting that ""God does not play dice"".",Albert Einstein,wikipedia,science
24,"Second, he attempted to devise a unified field theory by generalizing his geometric theory of gravitation to include electromagnetism.",Albert Einstein,wikipedia,science
25,"As a result, he became increasingly isolated from mainstream modern physics.",Albert Einstein,wikipedia,science
26,"Many things are named after him, including the element Einsteinium.",Albert Einstein,wikipedia,science
27,"In 1999, he was named Time's Person of the Century.",Albert Einstein,wikipedia,science
28,"Life and career
Childhood, youth and education
Einstein was born in Ulm as a subject to the Kingdom of Württemberg in the German Empire on 14 March 1879.",Albert Einstein,wikipedia,science
29,"His parents, secular Ashkenazi Jews, were Hermann Einstein, a salesman and engineer, and Pauline Koch.",Albert Einstein,wikipedia,science
30,"In 1880, the family moved to Munich's borough of Ludwigsvorstadt-Isarvorstadt, where Einstein's father and his uncle Jakob founded Elektrotechnische Fabrik J. Einstein & Cie, a company that manufactured electrical equipment based on direct current.",Albert Einstein,wikipedia,science
31,"When he was very young, his parents worried that he had a learning disability because he was very slow to learn to talk.",Albert Einstein,wikipedia,science
32,"When he was five and sick in bed, his father brought him a compass.",Albert Einstein,wikipedia,science
33,This sparked his lifelong fascination with electromagnetism.,Albert Einstein,wikipedia,science
34,"He realized that ""Something deeply hidden had to be behind things.",Albert Einstein,wikipedia,science
35,"""
Einstein attended St. Peter's Catholic elementary school in Munich from the age of five.",Albert Einstein,wikipedia,science
36,"When he was eight, he was transferred to the Luitpold Gymnasium, where he received advanced primary and then secondary school education.",Albert Einstein,wikipedia,science
37,"In 1894, Hermann and Jakob's company tendered for a contract to install electric lighting in Munich, but without success—they lacked the capital that would have been required to update their technology from direct current to the more efficient, alternating current alternative.",Albert Einstein,wikipedia,science
38,The failure of their bid forced them to sell their Munich factory and search for new opportunities elsewhere.,Albert Einstein,wikipedia,science
39,"The Einstein family moved to Italy, first to Milan and a few months later to Pavia, where they settled in Palazzo Cornazzani.",Albert Einstein,wikipedia,science
40,"Einstein, then fifteen, stayed behind in Munich in order to finish his schooling.",Albert Einstein,wikipedia,science
41,"Questions and Answers on Albert Einstein
A lbert Einstein was born at Ulm, in Württemberg, Germany, on March 14, 1879.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
42,"Six weeks later the family moved to Munich, where he later on began his schooling at the Luitpold Gymnasium.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
43,"Later, they moved to Italy and Albert continued his education at Aarau, Switzerland and in 1896 he entered the Swiss Federal Polytechnic School in Zurich to be trained as a teacher in physics and mathematics.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
44,"In 1901, the year he gained his diploma, he acquired Swiss citizenship and, as he was unable to find a teaching post, he accepted a position as technical assistant in the Swiss Patent Office.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
45,In 1905 he obtained his doctor’s degree.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
46,"During his stay at the Patent Office, and in his spare time, he produced much of his remarkable work and in 1908 he was appointed Privatdozent in Berne.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
47,"In 1909 he became Professor Extraordinary at Zurich, in 1911 Professor of Theoretical Physics at Prague, returning to Zurich in the following year to fill a similar post.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
48,In 1914 he was appointed Director of the Kaiser Wilhelm Physical Institute and Professor in the University of Berlin.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
49,He became a German citizen in 1914 and remained in Berlin until 1933 when he renounced his citizenship for political reasons and emigrated to America to take the position of Professor of Theoretical Physics at Princeton * .,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
50,He became a United States citizen in 1940 and retired from his post in 1945.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
51,"After World War II, Einstein was a leading figure in the World Government Movement, he was offered the Presidency of the State of Israel, which he declined, and he collaborated with Dr. Chaim Weizmann in establishing the Hebrew University of Jerusalem.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
52,Einstein always appeared to have a clear view of the problems of physics and the determination to solve them.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
53,He had a strategy of his own and was able to visualize the main stages on the way to his goal.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
54,He regarded his major achievements as mere stepping-stones for the next advance.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
55,"At the start of his scientific work, Einstein realized the inadequacies of Newtonian mechanics and his special theory of relativity stemmed from an attempt to reconcile the laws of mechanics with the laws of the electromagnetic field.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
56,He dealt with classical problems of statistical mechanics and problems in which they were merged with quantum theory: this led to an explanation of the Brownian movement of molecules.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
57,He investigated the thermal properties of light with a low radiation density and his observations laid the foundation of the photon theory of light.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
58,"In his early days in Berlin, Einstein postulated that the correct interpretation of the special theory of relativity must also furnish a theory of gravitation and in 1916 he published his paper on the general theory of relativity.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
59,During this time he also contributed to the problems of the theory of radiation and statistical mechanics.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
60,"In the 1920s, Einstein embarked on the construction of unified field theories, although he continued to work on the probabilistic interpretation of quantum theory, and he persevered with this work in America.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
61,He contributed to statistical mechanics by his development of the quantum theory of a monatomic gas and he has also accomplished valuable work in connection with atomic transition probabilities and relativistic cosmology.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
62,"After his retirement he continued to work towards the unification of the basic concepts of physics, taking the opposite approach, geometrisation, to the majority of physicists.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
63,"Einstein’s researches are, of course, well chronicled and his more important works include Special Theory of Relativity , Relativity , General Theory of Relativity , Investigations on Theory of Brownian Movement , and The Evolution of Physics .",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
64,"Among his non-scientific works, About Zionism , Why War? , My Philosophy , and Out of My Later Years are perhaps the most important.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
65,"Albert Einstein received honorary doctorate degrees in science, medicine and philosophy from many European and American universities.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
66,"During the 1920’s he lectured in Europe, America and the Far East, and he was awarded Fellowships or Memberships of all the leading scientific academies throughout the world.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
67,"He gained numerous awards in recognition of his work, including the Copley Medal of the Royal Society of London in 1925, and the Franklin Medal of the Franklin Institute in 1935.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
68,"Einstein’s gifts inevitably resulted in his dwelling much in intellectual solitude and, for relaxation, music played an important part in his life.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
69,"He married Mileva Maric in 1903 and they had a daughter and two sons; their marriage was dissolved in 1919 and in the same year he married his cousin, Elsa Löwenthal, who died in 1936.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
70,"He died on April 18, 1955 at Princeton, New Jersey.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
71,"This autobiography/biography was written 
 at the time of the award and first
 published in the book series Les Prix Nobel .",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
72,It was later edited and republished in Nobel Lectures .,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
73,"To cite this document, always state the source as shown above.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
74,"Albert Einstein was formally associated with the Institute for Advanced Study located in Princeton, New Jersey.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
75,Six prizes were awarded for achievements that have conferred the greatest benefit to humankind.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
76,The 14 laureates' work and discoveries range from quantum tunnelling to promoting democratic rights.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,web,science
77,"Jalāl al-Dīn Muḥammad Rūmī, commonly known as Rumi , was a Sufi mystic, poet, and founder of the Islamic brotherhood known as the Mevlevi Order.",Rumi,wikipedia,history
78,"Rumi is an influential figure in Sufism, and his thought and works loom large both in Persian literature and mystic poetry in general.",Rumi,wikipedia,history
79,"Today, his translated works are enjoyed all over the world.",Rumi,wikipedia,history
80,The rapidly advancing Mongol hordes forced his family to flee west early on in his life.,Rumi,wikipedia,history
81,"After spending time in various cities across Iran, Baghdad, and Damascus, he settled in Konya with his family at age 19.",Rumi,wikipedia,history
82,"Until recently, Konya had been a province of the Eastern Roman Empire, hence his name, Rumi, i.e. ""the Roman"".",Rumi,wikipedia,history
83,"Although he was exposed to Sufi thought from his early childhood, he was expected to follow his fathers footsteps as an Islamic scholar.",Rumi,wikipedia,history
84,"However, the arrival to Konya of the mysterious wandering dervish, Shams Tabrīzī, would alter the course of his life permanently.",Rumi,wikipedia,history
85,"Rumi and Shams became infatuated with each other, causing Rumi to neglect his duties.",Rumi,wikipedia,history
86,"When Shams mysteriously disappeared, Rumi experienced an intense period of grief reflected in his Divan of Shams Tabrīzī.",Rumi,wikipedia,history
87,"This was the defining moment in the evolution of Rumi's spiritual worldview, and marked the beginning of his poetic output.",Rumi,wikipedia,history
88,"His Masnavi, often called a ""Qur'an in Persian"", is considered one of the greatest poems of the Persian language.",Rumi,wikipedia,history
89,"Many Muslims, particularly in the Turko-Persian cultural sphere, regard the Masnavi as one of the most important works of Islamic literature, falling behind only the Quran.",Rumi,wikipedia,history
90,"Rumi's works are widely read today across his native Greater Iran as well as in Turkey, where the Sufi brotherhood he founded is based.",Rumi,wikipedia,history
91,"His poems have been translated into many of the world's languages, and Rumi has been described as the ""world's most popular poet.""",Rumi,wikipedia,history
92,"In the United States, he has become the best selling poet in recent years.",Rumi,wikipedia,history
93,"Name
He is most commonly called Rumi in English.",Rumi,wikipedia,history
94,He is more commonly known as Mawlānā Jalāl ad-Dīn Muḥammad Rūmī .,Rumi,wikipedia,history
95,"Jalal ad-Din is an Arabic name meaning ""Glory of the Faith"".",Rumi,wikipedia,history
96,"Balkhī and Rūmī are his nisbas, meaning, respectively, ""from Balkh"" and ""from Rûm"", as he was from the Sultanate of Rûm in Anatolia.",Rumi,wikipedia,history
97,"According to the authoritative Rumi biographer Franklin Lewis of the University of Chicago, ""he Anatolian peninsula which had belonged to the Byzantine, or eastern Roman empire, had only relatively recently been conquered by Muslims and even when it came to be controlled by Turkish Muslim rulers, it was still known to Arabs, Persians and Turks as the geographical area of Rum.",Rumi,wikipedia,history
98,"As such, there are a number of historical personages born in or associated with Anatolia known as Rumi, a word borrowed from Persian literally meaning 'Roman,' in which context Roman refers to subjects of the Byzantine Empire or simply to people living in or things associated with Anatolia.""",Rumi,wikipedia,history
99,Rumi is widely known by the sobriquet Mawlānā/Molānā in Iran and popularly known as Mevlânâ in Turkey.,Rumi,wikipedia,history
100,"Mawlānā is a term of Arabic origin, meaning ""our master"".",Rumi,wikipedia,history
101,"The term مولوی Mawlawī/Mowlavi and Mevlevi , also of Arabic origin, meaning ""my master"", is also frequently used for him.",Rumi,wikipedia,history
102,"Life
Overview
Rumi was born to Persian parents, in Wakhsh, a village on the East bank of the Wakhsh River known as Sangtuda in present-day Tajikistan.",Rumi,wikipedia,history
103,"The area, culturally adjacent to Balkh, is where Mawlânâ's father, Bahâ' uddîn Walad, was a preacher and jurist.",Rumi,wikipedia,history
104,"He lived and worked there until 1212, when Rumi was aged around five and the family moved to Samarkand.",Rumi,wikipedia,history
105,Greater Balkh was at that time a major centre of Persian culture and Sufism had developed there for several centuries.,Rumi,wikipedia,history
106,"The most important influences upon Rumi, besides his father, were the Persian poets Attar and Sanai.",Rumi,wikipedia,history
107,"Rumi expresses his appreciation: ""Attar was the spirit, Sanai his eyes twain, And in time thereafter, Came we in their train"" and mentions in another poem: ""Attar has traversed the seven cities of Love, We are still at the turn of one street"".",Rumi,wikipedia,history
108,His father was also connected to the spiritual lineage of Najm al-Din Kubra.,Rumi,wikipedia,history
109,"Rumi lived most of his life under the Persianate Seljuk Sultanate of Rum, where he produced his works and died in 1273 AD.",Rumi,wikipedia,history
110,"He was buried in Konya, and his shrine became a place of pilgrimage.",Rumi,wikipedia,history
111,"Upon his death, his followers and his son Sultan Walad founded the Mevlevi Order, also known as the Order of the Whirling Dervishes, famous for the Sufi dance known as the Sama ceremony.",Rumi,wikipedia,history
112,"He was laid to rest beside his father, and over his remains a shrine was erected.",Rumi,wikipedia,history
113,A hagiographical account of him is described in Shams ud-Din Ahmad Aflāki's Manāqib ul-Ārifīn .,Rumi,wikipedia,history
114,This biography needs to be treated with care as it contains both legends and facts about Rumi.,Rumi,wikipedia,history
115,"For example, Professor Franklin Lewis of the University of Chicago, author of the most complete biography on Rumi, has separate sections for the hagiographical biography of Rumi and the actual biography about him.",Rumi,wikipedia,history
116,"Childhood and emigration
Rumi's father was Bahā ud-Dīn Walad, a theologian, jurist and a mystic from Wakhsh, who was also known by the followers of Rumi as Sultan al-Ulama or ""Sultan of the Scholars"".",Rumi,wikipedia,history
117,Cardiology 'heart' and -λογία 'study') is the study of the heart.,Cardiology,wikipedia,medicine
118,"Cardiology is a branch of medicine that deals with disorders of the heart and the cardiovascular system, and it is a sub-specialty of internal medicine.",Cardiology,wikipedia,medicine
119,"The field includes medical diagnosis and treatment of congenital heart defects, coronary artery disease, heart failure, valvular heart disease, and electrophysiology.",Cardiology,wikipedia,medicine
120,Physicians who specialize in this field of medicine are called cardiologists.,Cardiology,wikipedia,medicine
121,Pediatric cardiologists are pediatricians who specialize in cardiology.,Cardiology,wikipedia,medicine
122,"Physicians who specialize in cardiac surgery are called cardiothoracic surgeons or cardiac surgeons, a specialty of general surgery.",Cardiology,wikipedia,medicine
123,"Specializations
All cardiologists in the branch of medicine study the disorders of the heart, but the study of adult and child heart disorders each requires different training pathways.",Cardiology,wikipedia,medicine
124,"Therefore, an adult cardiologist is inadequately trained to take care of children, and pediatric cardiologists are not trained to treat adult heart disease.",Cardiology,wikipedia,medicine
125,Surgical aspects outside of cardiac rhythm device implant are not included in cardiology and are in the domain of cardiothoracic surgery.,Cardiology,wikipedia,medicine
126,"For example, coronary artery bypass surgery and surgical valve replacement are surgical procedures performed by surgeons, not cardiologists.",Cardiology,wikipedia,medicine
127,"Typically, a cardiologist would first identify who is in need of cardiac surgery and refer them to a cardiac surgeon for the procedure.",Cardiology,wikipedia,medicine
128,"However, an increasing number of structural interventions can be performed less invasively by cardiologists; these include coronary procedures such as cardiac catheterization and percutaneous coronary intervention; structural valve procedures such as transcatheter aortic valve implantation and MitraClip; and procedures for heart rhythm disorders such as pacemaker implantation, Implantable cardioverter-defibrillator insertion, and ablation.",Cardiology,wikipedia,medicine
129,"Adult cardiology
Cardiology is a specialty of internal medicine.",Cardiology,wikipedia,medicine
130,"To become a cardiologist in the United States, a three-year residency in internal medicine is followed by a three-year fellowship in cardiology.",Cardiology,wikipedia,medicine
131,It is possible to specialize further in a sub-specialty.,Cardiology,wikipedia,medicine
132,"Recognized sub-specialties in the U.S. by the Accreditation Council for Graduate Medical Education are clinical cardiac electrophysiology, interventional cardiology, adult congenital heart disease, and advanced heart failure and transplant cardiology.",Cardiology,wikipedia,medicine
133,"Cardiologists may further become certified in echocardiography by the National Board of Echocardiography, in nuclear cardiology by the Certification Board of Nuclear Cardiology, in cardiovascular computed tomography by the Certification Board of Cardiovascular Computed Tomography in cardiovascular MRI by the Certification Board of Cardiovascular Magnetic Resonance.",Cardiology,wikipedia,medicine
134,Recognized subspecialties in the U.S. by the American Osteopathic Association Bureau of Osteopathic Specialists include clinical cardiac electrophysiology and interventional cardiology.,Cardiology,wikipedia,medicine
135,"In the United Kingdom, following completion of two years of foundation training and three years of internal medicine training, doctors may commence the five-year cardiology specialty training programme.",Cardiology,wikipedia,medicine
136,"As cardiologists are physicians, all prospective cardiologists must complete the Membership of the Royal Colleges of Physicians of the United Kingdom diploma, prior to commencing cardiology specialty training.",Cardiology,wikipedia,medicine
137,"It is possible to specialise in a recognised sub-specialty; the core sub-specialties are interventional cardiology, electrophysiology, cardiac imaging, heart failure, and adult congenital heart disease.",Cardiology,wikipedia,medicine
138,"All cardiologists must complete a core curriculum in cardiology, and may undertake further training and additional qualifications and certifications necessary for their chosen sub-specialty, before being awarded the Certificate of Completion of Training in cardiology.",Cardiology,wikipedia,medicine
139,"In India, the full process of becoming a cardiologist after graduating high school takes around 11.5 years.",Cardiology,wikipedia,medicine
140,"After completing Class 12th , students appear for the Medical Entrance Exam conducted at the National level, and then the National Eligibility cum Entrance Test , which allows students to take MBBS/BDS courses.",Cardiology,wikipedia,medicine
141,The MBBS course takes 5.5 years to complete .,Cardiology,wikipedia,medicine
142,"Upon completing this, the student becomes a qualified doctor.",Cardiology,wikipedia,medicine
143,"To pursue a specialization in cardiology, students must appear for either the NEET-PG or INI-CET exam.",Cardiology,wikipedia,medicine
144,"Once passed, the students get to study MD in General Medicine, which takes 3 years.",Cardiology,wikipedia,medicine
145,"Finally, to pursue a super-specialty in cardiology, a 3 year DM in cardiology course is required.",Cardiology,wikipedia,medicine
146,"Per Doximity, adult cardiologists earn an average of $436,849 per year in the U.S.
Cardiac electrophysiology
Cardiac electrophysiology is the science of elucidating, diagnosing, and treating the electrical activities of the heart.",Cardiology,wikipedia,medicine
147,The term is usually used to describe studies of such phenomena by invasive catheter recording of spontaneous activity as well as of cardiac responses to programmed electrical stimulation .,Cardiology,wikipedia,medicine
148,"These studies are performed to assess complex arrhythmias, elucidate symptoms, evaluate abnormal electrocardiograms, assess the risk of developing arrhythmias in the future, and design treatment.",Cardiology,wikipedia,medicine
149,"These procedures increasingly include therapeutic methods (typically radiofrequency ablation, or cryoablation) in addition to diagnostic and prognostic procedures.",Cardiology,wikipedia,medicine
150,Other therapeutic modalities employed in this field include antiarrhythmic drug therapy and implantation of pacemakers and automatic implantable cardioverter-defibrillators .,Cardiology,wikipedia,medicine
151,The cardiac electrophysiology study typically measures the response of the injured or cardiomyopathic myocardium to PES on specific pharmacological regimens in order to assess the likelihood that the regimen will successfully prevent potentially fatal sustained ventricular tachycardia or ventricular fibrillation in the future.,Cardiology,wikipedia,medicine
152,Sometimes a series of electrophysiology-study drug trials must be conducted to enable the cardiologist to select the one regimen for long-term treatment that best prevents or slows the development of VT or VF following PES.,Cardiology,wikipedia,medicine
153,Such studies may also be conducted in the presence of a newly implanted or newly replaced cardiac pacemaker or AICD.,Cardiology,wikipedia,medicine
154,"Clinical cardiac electrophysiology
Clinical cardiac electrophysiology is a branch of the medical specialty of cardiology and is concerned with the study and treatment of rhythm disorders of the heart.",Cardiology,wikipedia,medicine
155,Cardiologists with expertise in this area are usually referred to as electrophysiologists.,Cardiology,wikipedia,medicine
156,"Electrophysiologists are trained in the mechanism, function, and performance of the electrical activities of the heart.",Cardiology,wikipedia,medicine
157,"If you’ve had one, or are close to someone who has, you’re not alone.",https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
158,Many people survive a heart attack and go on to enjoy productive lives.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
159,The following details can help you understand what’s happened and how your heart can heal.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
160,"Use this information to help you live a healthier, longer life.",https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
161,See how coronary artery damage leads to a heart attack.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
162,Your heart muscle needs oxygen to survive.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
163,A heart attack occurs when the blood flow that brings oxygen to the heart is reduced or cut off.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
164,"If blood flow is reduced or stopped for too long, the heart muscle begins to die
View an animation of blood flow between the heart and lungs.",https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
165,"This happens when coronary arteries that supply the heart muscle with blood flow become narrowed from plaque — a buildup of fat, cholesterol and other substances.",https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
166,This slow process is known as atherosclerosis .,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
167,"When plaque within a heart artery breaks, a blood clot forms around the plaque.",https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
168,This blood clot can block blood flow through the artery to the heart muscle.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
169,"About every 40 seconds, someone in the United States has a heart attack.",https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
170,Atherosclerosis may have no symptoms in its early stages.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
171,"But when an artery is narrowed by over 70%, there may be muscle pain or cramps.",https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
172,This happens because the surrounding tissue needs more oxygen than it’s able to receive.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
173,"When a coronary artery narrows and constricts blood flow, other nearby blood vessels sometimes expand to help.",https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
174,This could explain why there may be no warning signs.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
175,This network of expanded blood vessels is called collateral circulation .,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
176,It helps protect some people from heart attacks by delivering needed blood to the heart.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
177,Collateral circulation can also develop after a heart attack to help the heart muscle recover.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
178,"When a heart attack occurs, the heart muscle that has lost blood supply begins to suffer injury.",https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
179,It begins to die if blood supply is not restored.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
180,"The amount of damage to the heart muscle depends on:
Heart muscle damaged by a heart attack heals by forming scar tissue.",https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
181,It usually takes several weeks for your heart muscle to heal.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
182,"The length of time depends on:
The heart is a tough organ.",https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
183,"Even if part of it has been injured, the rest of the heart keeps working.",https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
184,"Still, your heart may be weakened and unable to pump as much blood as usual.",https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
185,"With treatment and lifestyle changes , further damage can be limited or prevented.",https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
186,Learn more about heart damage detection .,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
187,Talk to your health care professional about your recovery time.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
188,Heart attacks can have longer or shorter recoveries and complications.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
189,This depends on the size and location of the damage and the treatment you receive.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
190,Scar tissue may form in the damaged area.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
191,Scar tissue doesn’t contract or pump as well as healthy muscle tissue.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
192,The amount of damage to the heart muscle can affect how well the heart pumps blood.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
193,How much pumping function is lost depends on the size and location of the scar tissue.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
194,Most heart attack survivors have some kind of coronary artery disease .,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
195,They will have to make lifestyle changes and possibly take medication to prevent a future heart attack.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
196,Surgeries or cardiac rehab may also be needed to help with recovery.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,web,medicine
197,"Artificial intelligence is the capability of computational systems to perform tasks typically associated with human intelligence, such as learning, reasoning, problem-solving, perception, and decision-making.",Artificial intelligence,wikipedia,technology
198,"It is a field of research in engineering, mathematics and computer science that develops and studies methods and software that enable machines to perceive their environment and use learning and intelligence to take actions that maximize their chances of achieving defined goals.",Artificial intelligence,wikipedia,technology
