sentence_id,sentence,source,subject,relation,object,confidence
12,"On the eve of World War II, he endorsed a letter to President Franklin D. Roosevelt alerting him to the potential German nuclear weapons program and recommending that the US begin similar research, later carried out as the Manhattan Project.",Albert Einstein,he,alerting him to,the potential German nuclear weapons program,0.8046
12,"On the eve of World War II, he endorsed a letter to President Franklin D. Roosevelt alerting him to the potential German nuclear weapons program and recommending that the US begin similar research, later carried out as the Manhattan Project.",Albert Einstein,he,recommended that the US begin,similar research,0.7546
12,"On the eve of World War II, he endorsed a letter to President Franklin D. Roosevelt alerting him to the potential German nuclear weapons program and recommending that the US begin similar research, later carried out as the Manhattan Project.",Albert Einstein,similar research,was carried out as,the Manhattan Project,0.8046
14,"In them, he outlined a theory of the photoelectric effect, explained Brownian motion, introduced his special theory of relativity, and demonstrated that if the special theory is correct, mass and energy are equivalent to each other.",Albert Einstein,he,outlined,a theory of the photoelectric effect,0.8578
14,"In them, he outlined a theory of the photoelectric effect, explained Brownian motion, introduced his special theory of relativity, and demonstrated that if the special theory is correct, mass and energy are equivalent to each other.",Albert Einstein,he,explained,Brownian motion,0.8578
14,"In them, he outlined a theory of the photoelectric effect, explained Brownian motion, introduced his special theory of relativity, and demonstrated that if the special theory is correct, mass and energy are equivalent to each other.",Albert Einstein,he,introduced,his special theory of relativity,0.8578
14,"In them, he outlined a theory of the photoelectric effect, explained Brownian motion, introduced his special theory of relativity, and demonstrated that if the special theory is correct, mass and energy are equivalent to each other.",Albert Einstein,he,demonstrated,"that if the special theory is correct, mass and energy are equivalent to each other",0.8578
15,"In 1915, he proposed a general theory of relativity that extended his system of mechanics to incorporate gravitation.",Albert Einstein,he,proposed,a general theory of relativity,0.7786
15,"In 1915, he proposed a general theory of relativity that extended his system of mechanics to incorporate gravitation.",Albert Einstein,he,extended,his system of mechanics,0.7786
15,"In 1915, he proposed a general theory of relativity that extended his system of mechanics to incorporate gravitation.",Albert Einstein,he,incorporated,gravitation,0.6786
16,A paper that he published the following year laid out the implications of general relativity for the modeling of the structure and evolution of the universe as a whole.,Albert Einstein,paper,was published by,he,0.8522
16,A paper that he published the following year laid out the implications of general relativity for the modeling of the structure and evolution of the universe as a whole.,Albert Einstein,paper,laid out,implications of general relativity,0.9272
16,A paper that he published the following year laid out the implications of general relativity for the modeling of the structure and evolution of the universe as a whole.,Albert Einstein,implications of general relativity,are for,modeling of the structure and evolution of the universe as a whole,0.9272
18,"In 1917, Einstein wrote a paper which introduced the concepts of spontaneous emission and stimulated emission, the latter of which is the core mechanism behind the laser and maser, and which contained a trove of information that would be beneficial to developments in physics later on, such as quantum electrodynamics and quantum optics.",Albert Einstein,Einstein,wrote,a paper,0.746
18,"In 1917, Einstein wrote a paper which introduced the concepts of spontaneous emission and stimulated emission, the latter of which is the core mechanism behind the laser and maser, and which contained a trove of information that would be beneficial to developments in physics later on, such as quantum electrodynamics and quantum optics.",Albert Einstein,Einstein,introduced,the concepts of spontaneous emission and stimulated emission,0.746
18,"In 1917, Einstein wrote a paper which introduced the concepts of spontaneous emission and stimulated emission, the latter of which is the core mechanism behind the laser and maser, and which contained a trove of information that would be beneficial to developments in physics later on, such as quantum electrodynamics and quantum optics.",Albert Einstein,the concepts of spontaneous emission and stimulated emission,is,the core mechanism behind the laser and maser,0.746
18,"In 1917, Einstein wrote a paper which introduced the concepts of spontaneous emission and stimulated emission, the latter of which is the core mechanism behind the laser and maser, and which contained a trove of information that would be beneficial to developments in physics later on, such as quantum electrodynamics and quantum optics.",Albert Einstein,the paper,contained,a trove of information that would be beneficial to developments in physics later on,0.746
18,"In 1917, Einstein wrote a paper which introduced the concepts of spontaneous emission and stimulated emission, the latter of which is the core mechanism behind the laser and maser, and which contained a trove of information that would be beneficial to developments in physics later on, such as quantum electrodynamics and quantum optics.",Albert Einstein,a trove of information that would be beneficial to developments in physics later on,would be beneficial to,developments in physics later on,0.746
18,"In 1917, Einstein wrote a paper which introduced the concepts of spontaneous emission and stimulated emission, the latter of which is the core mechanism behind the laser and maser, and which contained a trove of information that would be beneficial to developments in physics later on, such as quantum electrodynamics and quantum optics.",Albert Einstein,a trove of information that would be beneficial to developments in physics later on,is related to,quantum electrodynamics and quantum optics,0.7187
19,"In the middle part of his career, Einstein made important contributions to statistical mechanics and quantum theory.",Albert Einstein,Einstein,made contributions to,statistical mechanics,0.7586
19,"In the middle part of his career, Einstein made important contributions to statistical mechanics and quantum theory.",Albert Einstein,Einstein,made contributions to,quantum theory,0.7586
20,"Especially notable was his work on the quantum physics of radiation, in which light consists of particles, subsequently called photons.",Albert Einstein,his work,was notable for,the quantum physics of radiation,0.7873
20,"Especially notable was his work on the quantum physics of radiation, in which light consists of particles, subsequently called photons.",Albert Einstein,light,consists of,particles,0.7873
20,"Especially notable was his work on the quantum physics of radiation, in which light consists of particles, subsequently called photons.",Albert Einstein,particles,were subsequently called,photons,0.7873
21,"With physicist Satyendra Nath Bose, he laid the groundwork for Bose–Einstein statistics.",Albert Einstein,he,laid the groundwork for,Bose–Einstein statistics,0.8627
21,"With physicist Satyendra Nath Bose, he laid the groundwork for Bose–Einstein statistics.",Albert Einstein,he,laid the groundwork for,physicist Satyendra Nath Bose,0.8627
26,"Many things are named after him, including the element Einsteinium.",Albert Einstein,Einsteinium,is named after,him,0.912
27,"In 1999, he was named Time's Person of the Century.",Albert Einstein,he,was named,Time's Person of the Century,0.706
30,"In 1880, the family moved to Munich's borough of Ludwigsvorstadt-Isarvorstadt, where Einstein's father and his uncle Jakob founded Elektrotechnische Fabrik J. Einstein & Cie, a company that manufactured electrical equipment based on direct current.",Albert Einstein,Einstein's father,founded,Elektrotechnische Fabrik J. Einstein & Cie,0.668
30,"In 1880, the family moved to Munich's borough of Ludwigsvorstadt-Isarvorstadt, where Einstein's father and his uncle Jakob founded Elektrotechnische Fabrik J. Einstein & Cie, a company that manufactured electrical equipment based on direct current.",Albert Einstein,Einstein's father,and his uncle Jakob,founded,0.668
30,"In 1880, the family moved to Munich's borough of Ludwigsvorstadt-Isarvorstadt, where Einstein's father and his uncle Jakob founded Elektrotechnische Fabrik J. Einstein & Cie, a company that manufactured electrical equipment based on direct current.",Albert Einstein,Einstein's father and his uncle Jakob,founded,Elektrotechnische Fabrik J. Einstein & Cie,0.668
30,"In 1880, the family moved to Munich's borough of Ludwigsvorstadt-Isarvorstadt, where Einstein's father and his uncle Jakob founded Elektrotechnische Fabrik J. Einstein & Cie, a company that manufactured electrical equipment based on direct current.",Albert Einstein,Einstein's father and his uncle Jakob,founded,a company,0.668
30,"In 1880, the family moved to Munich's borough of Ludwigsvorstadt-Isarvorstadt, where Einstein's father and his uncle Jakob founded Elektrotechnische Fabrik J. Einstein & Cie, a company that manufactured electrical equipment based on direct current.",Albert Einstein,Einstein's father and his uncle Jakob,manufactured,electrical equipment,0.668
30,"In 1880, the family moved to Munich's borough of Ludwigsvorstadt-Isarvorstadt, where Einstein's father and his uncle Jakob founded Elektrotechnische Fabrik J. Einstein & Cie, a company that manufactured electrical equipment based on direct current.",Albert Einstein,Einstein's father and his uncle Jakob,manufactured,based on direct current,0.668
30,"In 1880, the family moved to Munich's borough of Ludwigsvorstadt-Isarvorstadt, where Einstein's father and his uncle Jakob founded Elektrotechnische Fabrik J. Einstein & Cie, a company that manufactured electrical equipment based on direct current.",Albert Einstein,Einstein's father and his uncle Jakob,manufactured,electrical equipment based on direct current,0.668
30,"In 1880, the family moved to Munich's borough of Ludwigsvorstadt-Isarvorstadt, where Einstein's father and his uncle Jakob founded Elektrotechnische Fabrik J. Einstein & Cie, a company that manufactured electrical equipment based on direct current.",Albert Einstein,Einstein's father and his uncle Jakob,founded,a company that manufactured electrical equipment based on direct current,0.668
30,"In 1880, the family moved to Munich's borough of Ludwigsvorstadt-Isarvorstadt, where Einstein's father and his uncle Jakob founded Elektrotechnische Fabrik J. Einstein & Cie, a company that manufactured electrical equipment based on direct current.",Albert Einstein,Einstein's father and his uncle Jakob,founded Elektrotechnische Fabrik J. Einstein & Cie,a company that manufactured electrical equipment based on direct current,0.668
30,"In 1880, the family moved to Munich's borough of Ludwigsvorstadt-Isarvorstadt, where Einstein's father and his uncle Jakob founded Elektrotechnische Fabrik J. Einstein & Cie, a company that manufactured electrical equipment based on direct current.",Albert Einstein,Einstein's father and his uncle Jakob,founded Elektrotechnische Fabrik J. Einstein & Cie,in Munich's borough of Ludwigsvorstadt-Isarvorstadt,0.668
30,"In 1880, the family moved to Munich's borough of Ludwigsvorstadt-Isarvorstadt, where Einstein's father and his uncle Jakob founded Elektrotechnische Fabrik J. Einstein & Cie, a company that manufactured electrical equipment based on direct current.",Albert Einstein,Einstein's father and his uncle Jakob,founded Elektrotechnische Fabrik J. Einstein & Cie,in 1880,0.668
32,"When he was five and sick in bed, his father brought him a compass.",Albert Einstein,he,was,five,0.7499
32,"When he was five and sick in bed, his father brought him a compass.",Albert Einstein,he,was,sick in bed,0.7499
32,"When he was five and sick in bed, his father brought him a compass.",Albert Einstein,his father,brought,him,0.7499
32,"When he was five and sick in bed, his father brought him a compass.",Albert Einstein,his father,brought,a compass,0.7499
36,"When he was eight, he was transferred to the Luitpold Gymnasium, where he received advanced primary and then secondary school education.",Albert Einstein,he,was transferred to,the Luitpold Gymnasium,0.6677
36,"When he was eight, he was transferred to the Luitpold Gymnasium, where he received advanced primary and then secondary school education.",Albert Einstein,he,received,advanced primary and then secondary school education,0.6677
45,In 1905 he obtained his doctor’s degree.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,he,obtained,his doctor’s degree,0.9184
55,"At the start of his scientific work, Einstein realized the inadequacies of Newtonian mechanics and his special theory of relativity stemmed from an attempt to reconcile the laws of mechanics with the laws of the electromagnetic field.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Einstein,realized,the inadequacies of Newtonian mechanics,0.679
55,"At the start of his scientific work, Einstein realized the inadequacies of Newtonian mechanics and his special theory of relativity stemmed from an attempt to reconcile the laws of mechanics with the laws of the electromagnetic field.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Einstein's special theory of relativity,stemmed from,an attempt to reconcile the laws of mechanics with the laws of the electromagnetic field,0.6576
56,He dealt with classical problems of statistical mechanics and problems in which they were merged with quantum theory: this led to an explanation of the Brownian movement of molecules.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,He,dealt with,classical problems of statistical mechanics,0.717
56,He dealt with classical problems of statistical mechanics and problems in which they were merged with quantum theory: this led to an explanation of the Brownian movement of molecules.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,He,dealt with,problems in which they were merged with quantum theory,0.717
56,He dealt with classical problems of statistical mechanics and problems in which they were merged with quantum theory: this led to an explanation of the Brownian movement of molecules.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,He,led to,an explanation of the Brownian movement of molecules,0.717
57,He investigated the thermal properties of light with a low radiation density and his observations laid the foundation of the photon theory of light.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,He,investigated,the thermal properties of light,0.74
57,He investigated the thermal properties of light with a low radiation density and his observations laid the foundation of the photon theory of light.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,He,laid the foundation of,the photon theory of light,0.74
57,He investigated the thermal properties of light with a low radiation density and his observations laid the foundation of the photon theory of light.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,He,made observations,the thermal properties of light,0.69
58,"In his early days in Berlin, Einstein postulated that the correct interpretation of the special theory of relativity must also furnish a theory of gravitation and in 1916 he published his paper on the general theory of relativity.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Einstein,was in,Berlin,0.7606
58,"In his early days in Berlin, Einstein postulated that the correct interpretation of the special theory of relativity must also furnish a theory of gravitation and in 1916 he published his paper on the general theory of relativity.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Einstein,postulated,the correct interpretation of the special theory of relativity,0.7606
58,"In his early days in Berlin, Einstein postulated that the correct interpretation of the special theory of relativity must also furnish a theory of gravitation and in 1916 he published his paper on the general theory of relativity.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Einstein,must furnish,a theory of gravitation,0.7606
58,"In his early days in Berlin, Einstein postulated that the correct interpretation of the special theory of relativity must also furnish a theory of gravitation and in 1916 he published his paper on the general theory of relativity.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Einstein,published,his paper on the general theory of relativity,0.7606
58,"In his early days in Berlin, Einstein postulated that the correct interpretation of the special theory of relativity must also furnish a theory of gravitation and in 1916 he published his paper on the general theory of relativity.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Einstein,published,his paper in 1916,0.7606
58,"In his early days in Berlin, Einstein postulated that the correct interpretation of the special theory of relativity must also furnish a theory of gravitation and in 1916 he published his paper on the general theory of relativity.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Einstein,published,his paper,0.7606
61,He contributed to statistical mechanics by his development of the quantum theory of a monatomic gas and he has also accomplished valuable work in connection with atomic transition probabilities and relativistic cosmology.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,He,contributed to,statistical mechanics,0.7909
61,He contributed to statistical mechanics by his development of the quantum theory of a monatomic gas and he has also accomplished valuable work in connection with atomic transition probabilities and relativistic cosmology.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,He,developed,the quantum theory of a monatomic gas,0.7409
61,He contributed to statistical mechanics by his development of the quantum theory of a monatomic gas and he has also accomplished valuable work in connection with atomic transition probabilities and relativistic cosmology.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,He,accomplished valuable work in connection with,atomic transition probabilities,0.7909
61,He contributed to statistical mechanics by his development of the quantum theory of a monatomic gas and he has also accomplished valuable work in connection with atomic transition probabilities and relativistic cosmology.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,He,accomplished valuable work in connection with,relativistic cosmology,0.7909
63,"Einstein’s researches are, of course, well chronicled and his more important works include Special Theory of Relativity , Relativity , General Theory of Relativity , Investigations on Theory of Brownian Movement , and The Evolution of Physics .",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Einstein's researches,include,Special Theory of Relativity,0.814
63,"Einstein’s researches are, of course, well chronicled and his more important works include Special Theory of Relativity , Relativity , General Theory of Relativity , Investigations on Theory of Brownian Movement , and The Evolution of Physics .",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Einstein's researches,include,Relativity,0.814
63,"Einstein’s researches are, of course, well chronicled and his more important works include Special Theory of Relativity , Relativity , General Theory of Relativity , Investigations on Theory of Brownian Movement , and The Evolution of Physics .",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Einstein's researches,include,General Theory of Relativity,0.814
63,"Einstein’s researches are, of course, well chronicled and his more important works include Special Theory of Relativity , Relativity , General Theory of Relativity , Investigations on Theory of Brownian Movement , and The Evolution of Physics .",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Einstein's researches,include,Investigations on Theory of Brownian Movement,0.814
63,"Einstein’s researches are, of course, well chronicled and his more important works include Special Theory of Relativity , Relativity , General Theory of Relativity , Investigations on Theory of Brownian Movement , and The Evolution of Physics .",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Einstein's researches,include,The Evolution of Physics,0.814
64,"Among his non-scientific works, About Zionism , Why War? , My Philosophy , and Out of My Later Years are perhaps the most important.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"About Zionism, Why War?, My Philosophy, and Out of My Later Years",are,perhaps the most important non-scientific works of,0.6702
64,"Among his non-scientific works, About Zionism , Why War? , My Philosophy , and Out of My Later Years are perhaps the most important.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"About Zionism, Why War?, My Philosophy, and Out of My Later Years",are,perhaps the most important,0.6702
64,"Among his non-scientific works, About Zionism , Why War? , My Philosophy , and Out of My Later Years are perhaps the most important.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"About Zionism, Why War?, My Philosophy, and Out of My Later Years",are,his,0.6702
65,"Albert Einstein received honorary doctorate degrees in science, medicine and philosophy from many European and American universities.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Albert Einstein,received honorary doctorate degrees in,science,0.8307
65,"Albert Einstein received honorary doctorate degrees in science, medicine and philosophy from many European and American universities.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Albert Einstein,received honorary doctorate degrees in,medicine,0.8307
65,"Albert Einstein received honorary doctorate degrees in science, medicine and philosophy from many European and American universities.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Albert Einstein,received honorary doctorate degrees in,philosophy,0.8307
65,"Albert Einstein received honorary doctorate degrees in science, medicine and philosophy from many European and American universities.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Albert Einstein,received honorary doctorate degrees from,many European and American universities,0.8307
66,"During the 1920’s he lectured in Europe, America and the Far East, and he was awarded Fellowships or Memberships of all the leading scientific academies throughout the world.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,he,lectured in,Europe,0.7309
66,"During the 1920’s he lectured in Europe, America and the Far East, and he was awarded Fellowships or Memberships of all the leading scientific academies throughout the world.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,he,lectured in,America,0.7309
66,"During the 1920’s he lectured in Europe, America and the Far East, and he was awarded Fellowships or Memberships of all the leading scientific academies throughout the world.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,he,lectured in,the Far East,0.7309
66,"During the 1920’s he lectured in Europe, America and the Far East, and he was awarded Fellowships or Memberships of all the leading scientific academies throughout the world.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,he,was awarded Fellowships or Memberships of,all the leading scientific academies throughout the world,0.7309
67,"He gained numerous awards in recognition of his work, including the Copley Medal of the Royal Society of London in 1925, and the Franklin Medal of the Franklin Institute in 1935.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,He,gained,numerous awards,0.7024
67,"He gained numerous awards in recognition of his work, including the Copley Medal of the Royal Society of London in 1925, and the Franklin Medal of the Franklin Institute in 1935.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,He,gained,the Copley Medal,0.7024
67,"He gained numerous awards in recognition of his work, including the Copley Medal of the Royal Society of London in 1925, and the Franklin Medal of the Franklin Institute in 1935.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,He,received,the Copley Medal of the Royal Society of London in 1925,0.6649
67,"He gained numerous awards in recognition of his work, including the Copley Medal of the Royal Society of London in 1925, and the Franklin Medal of the Franklin Institute in 1935.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,He,received,the Copley Medal of the Royal Society of London,0.6595
67,"He gained numerous awards in recognition of his work, including the Copley Medal of the Royal Society of London in 1925, and the Franklin Medal of the Franklin Institute in 1935.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,He,received,the Copley Medal of the Royal Society of London in 1925 in recognition of his work,0.6751
67,"He gained numerous awards in recognition of his work, including the Copley Medal of the Royal Society of London in 1925, and the Franklin Medal of the Franklin Institute in 1935.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,He,gained,the Franklin Medal,0.7024
67,"He gained numerous awards in recognition of his work, including the Copley Medal of the Royal Society of London in 1925, and the Franklin Medal of the Franklin Institute in 1935.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,He,received,the Franklin Medal of the Franklin Institute in 1935,0.6524
67,"He gained numerous awards in recognition of his work, including the Copley Medal of the Royal Society of London in 1925, and the Franklin Medal of the Franklin Institute in 1935.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,He,received,the Franklin Medal of the Franklin Institute in 1935 in recognition of his work,0.6691
71,"This autobiography/biography was written 
 at the time of the award and first
 published in the book series Les Prix Nobel .",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,autobiography/biography,was written,at the time of the award,0.6609
71,"This autobiography/biography was written 
 at the time of the award and first
 published in the book series Les Prix Nobel .",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,autobiography/biography,was published in,book series Les Prix Nobel,0.6609
74,"Albert Einstein was formally associated with the Institute for Advanced Study located in Princeton, New Jersey.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,Albert Einstein,was formally associated with,the Institute for Advanced Study,0.8389
74,"Albert Einstein was formally associated with the Institute for Advanced Study located in Princeton, New Jersey.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,the Institute for Advanced Study,is located in,"Princeton, New Jersey",0.8389
77,"Jalāl al-Dīn Muḥammad Rūmī, commonly known as Rumi , was a Sufi mystic, poet, and founder of the Islamic brotherhood known as the Mevlevi Order.",Rumi,Jalāl al-Dīn Muḥammad Rūmī,was,"a Sufi mystic, poet, and founder of the Islamic brotherhood known as the Mevlevi Order",0.7274
77,"Jalāl al-Dīn Muḥammad Rūmī, commonly known as Rumi , was a Sufi mystic, poet, and founder of the Islamic brotherhood known as the Mevlevi Order.",Rumi,Jalāl al-Dīn Muḥammad Rūmī,was known as,Rumi,0.7274
77,"Jalāl al-Dīn Muḥammad Rūmī, commonly known as Rumi , was a Sufi mystic, poet, and founder of the Islamic brotherhood known as the Mevlevi Order.",Rumi,Jalāl al-Dīn Muḥammad Rūmī,was the founder of,the Mevlevi Order,0.7274
78,"Rumi is an influential figure in Sufism, and his thought and works loom large both in Persian literature and mystic poetry in general.",Rumi,Rumi,is an influential figure in,Sufism,0.7553
78,"Rumi is an influential figure in Sufism, and his thought and works loom large both in Persian literature and mystic poetry in general.",Rumi,Rumi,loom large in,Persian literature,0.7553
78,"Rumi is an influential figure in Sufism, and his thought and works loom large both in Persian literature and mystic poetry in general.",Rumi,Rumi,loom large in,mystic poetry,0.7553
82,"Until recently, Konya had been a province of the Eastern Roman Empire, hence his name, Rumi, i.e. ""the Roman"".",Rumi,Konya,had been a province of,the Eastern Roman Empire,0.6729
82,"Until recently, Konya had been a province of the Eastern Roman Empire, hence his name, Rumi, i.e. ""the Roman"".",Rumi,Konya,hence his name,Rumi,0.6729
88,"His Masnavi, often called a ""Qur'an in Persian"", is considered one of the greatest poems of the Persian language.",Rumi,His Masnavi,is considered one of the greatest poems of,the Persian language,0.7001
88,"His Masnavi, often called a ""Qur'an in Persian"", is considered one of the greatest poems of the Persian language.",Rumi,His Masnavi,is often called a,Qur'an in Persian,0.7001
89,"Many Muslims, particularly in the Turko-Persian cultural sphere, regard the Masnavi as one of the most important works of Islamic literature, falling behind only the Quran.",Rumi,Masnavi,is considered one of the most important works of,Islamic literature,0.7378
89,"Many Muslims, particularly in the Turko-Persian cultural sphere, regard the Masnavi as one of the most important works of Islamic literature, falling behind only the Quran.",Rumi,Masnavi,falls behind,Quran,0.7003
90,"Rumi's works are widely read today across his native Greater Iran as well as in Turkey, where the Sufi brotherhood he founded is based.",Rumi,Rumi,is based in,Turkey,0.7113
90,"Rumi's works are widely read today across his native Greater Iran as well as in Turkey, where the Sufi brotherhood he founded is based.",Rumi,Rumi,founded,the Sufi brotherhood,0.7113
90,"Rumi's works are widely read today across his native Greater Iran as well as in Turkey, where the Sufi brotherhood he founded is based.",Rumi,Rumi's works,are widely read today,across his native Greater Iran,0.7113
90,"Rumi's works are widely read today across his native Greater Iran as well as in Turkey, where the Sufi brotherhood he founded is based.",Rumi,Rumi's works,are widely read today,in Turkey,0.7113
91,"His poems have been translated into many of the world's languages, and Rumi has been described as the ""world's most popular poet.""",Rumi,Rumi,has been described as,the world's most popular poet,0.6862
91,"His poems have been translated into many of the world's languages, and Rumi has been described as the ""world's most popular poet.""",Rumi,His poems,have been translated into,many of the world's languages,0.6862
92,"In the United States, he has become the best selling poet in recent years.",Rumi,he,has become,the best selling poet,0.7018
92,"In the United States, he has become the best selling poet in recent years.",Rumi,he,is in,the United States,0.7018
96,"Balkhī and Rūmī are his nisbas, meaning, respectively, ""from Balkh"" and ""from Rûm"", as he was from the Sultanate of Rûm in Anatolia.",Rumi,he,was from,the Sultanate of Rûm in Anatolia,0.6661
97,"According to the authoritative Rumi biographer Franklin Lewis of the University of Chicago, ""he Anatolian peninsula which had belonged to the Byzantine, or eastern Roman empire, had only relatively recently been conquered by Muslims and even when it came to be controlled by Turkish Muslim rulers, it was still known to Arabs, Persians and Turks as the geographical area of Rum.",Rumi,Anatolian peninsula,had belonged to,"Byzantine, or eastern Roman empire",0.7214
97,"According to the authoritative Rumi biographer Franklin Lewis of the University of Chicago, ""he Anatolian peninsula which had belonged to the Byzantine, or eastern Roman empire, had only relatively recently been conquered by Muslims and even when it came to be controlled by Turkish Muslim rulers, it was still known to Arabs, Persians and Turks as the geographical area of Rum.",Rumi,Anatolian peninsula,had been conquered by,Muslims,0.7214
97,"According to the authoritative Rumi biographer Franklin Lewis of the University of Chicago, ""he Anatolian peninsula which had belonged to the Byzantine, or eastern Roman empire, had only relatively recently been conquered by Muslims and even when it came to be controlled by Turkish Muslim rulers, it was still known to Arabs, Persians and Turks as the geographical area of Rum.",Rumi,Anatolian peninsula,was known to,"Arabs, Persians and Turks",0.7214
97,"According to the authoritative Rumi biographer Franklin Lewis of the University of Chicago, ""he Anatolian peninsula which had belonged to the Byzantine, or eastern Roman empire, had only relatively recently been conquered by Muslims and even when it came to be controlled by Turkish Muslim rulers, it was still known to Arabs, Persians and Turks as the geographical area of Rum.",Rumi,Anatolian peninsula,was known as,geographical area of Rum,0.7214
