sentence_id,sentence,source,verified_triples,verified_count
29,"His parents, secular Ashkenazi Jews, were Hermann Einstein, a salesman and engineer, and Pauline Koch.",Albert Einstein,[],0
30,"In 1880, the family moved to Munich's borough of Ludwigsvorstadt-Isarvorstadt, where Einstein's father and his uncle Jakob founded Elektrotechnische Fabrik J. Einstein & Cie, a company that manufactured electrical equipment based on direct current.",Albert Einstein,"[{""triple"": [""Einstein's father"", ""founded"", ""Elektrotechnische Fabrik J. Einstein & Cie""], ""label"": ""entailment"", ""confidence"": 0.668}, {""triple"": [""Einstein's father"", ""and his uncle Jakob"", ""founded""], ""label"": ""entailment"", ""confidence"": 0.668}, {""triple"": [""Einstein's father and his uncle Jakob"", ""founded"", ""Elektrotechnische Fabrik J. Einstein & Cie""], ""label"": ""entailment"", ""confidence"": 0.668}, {""triple"": [""Einstein's father and his uncle Jakob"", ""founded"", ""a company""], ""label"": ""entailment"", ""confidence"": 0.668}, {""triple"": [""Einstein's father and his uncle Jakob"", ""manufactured"", ""electrical equipment""], ""label"": ""entailment"", ""confidence"": 0.668}, {""triple"": [""Einstein's father and his uncle Jakob"", ""manufactured"", ""based on direct current""], ""label"": ""entailment"", ""confidence"": 0.668}, {""triple"": [""Einstein's father and his uncle Jakob"", ""manufactured"", ""electrical equipment based on direct current""], ""label"": ""entailment"", ""confidence"": 0.668}, {""triple"": [""Einstein's father and his uncle Jakob"", ""founded"", ""a company that manufactured electrical equipment based on direct current""], ""label"": ""entailment"", ""confidence"": 0.668}, {""triple"": [""Einstein's father and his uncle Jakob"", ""founded Elektrotechnische Fabrik J. Einstein & Cie"", ""a company that manufactured electrical equipment based on direct current""], ""label"": ""entailment"", ""confidence"": 0.668}, {""triple"": [""Einstein's father and his uncle Jakob"", ""founded Elektrotechnische Fabrik J. Einstein & Cie"", ""in Munich's borough of Ludwigsvorstadt-Isarvorstadt""], ""label"": ""entailment"", ""confidence"": 0.668}, {""triple"": [""Einstein's father and his uncle Jakob"", ""founded Elektrotechnische Fabrik J. Einstein & Cie"", ""in 1880""], ""label"": ""entailment"", ""confidence"": 0.668}]",11
31,"When he was very young, his parents worried that he had a learning disability because he was very slow to learn to talk.",Albert Einstein,[],0
32,"When he was five and sick in bed, his father brought him a compass.",Albert Einstein,"[{""triple"": [""he"", ""was"", ""five""], ""label"": ""entailment"", ""confidence"": 0.7499}, {""triple"": [""he"", ""was"", ""sick in bed""], ""label"": ""entailment"", ""confidence"": 0.7499}, {""triple"": [""his father"", ""brought"", ""him""], ""label"": ""entailment"", ""confidence"": 0.7499}, {""triple"": [""his father"", ""brought"", ""a compass""], ""label"": ""entailment"", ""confidence"": 0.7499}]",4
33,This sparked his lifelong fascination with electromagnetism.,Albert Einstein,[],0
34,"He realized that ""Something deeply hidden had to be behind things.",Albert Einstein,[],0
35,"""
Einstein attended St. Peter's Catholic elementary school in Munich from the age of five.",Albert Einstein,[],0
36,"When he was eight, he was transferred to the Luitpold Gymnasium, where he received advanced primary and then secondary school education.",Albert Einstein,"[{""triple"": [""he"", ""was transferred to"", ""the Luitpold Gymnasium""], ""label"": ""entailment"", ""confidence"": 0.6677}, {""triple"": [""he"", ""received"", ""advanced primary and then secondary school education""], ""label"": ""entailment"", ""confidence"": 0.6677}]",2
37,"In 1894, Hermann and Jakob's company tendered for a contract to install electric lighting in Munich, but without success—they lacked the capital that would have been required to update their technology from direct current to the more efficient, alternating current alternative.",Albert Einstein,[],0
38,The failure of their bid forced them to sell their Munich factory and search for new opportunities elsewhere.,Albert Einstein,[],0
39,"The Einstein family moved to Italy, first to Milan and a few months later to Pavia, where they settled in Palazzo Cornazzani.",Albert Einstein,[],0
40,"Einstein, then fifteen, stayed behind in Munich in order to finish his schooling.",Albert Einstein,[],0
41,"Questions and Answers on Albert Einstein
A lbert Einstein was born at Ulm, in Württemberg, Germany, on March 14, 1879.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
42,"Six weeks later the family moved to Munich, where he later on began his schooling at the Luitpold Gymnasium.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
43,"Later, they moved to Italy and Albert continued his education at Aarau, Switzerland and in 1896 he entered the Swiss Federal Polytechnic School in Zurich to be trained as a teacher in physics and mathematics.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
44,"In 1901, the year he gained his diploma, he acquired Swiss citizenship and, as he was unable to find a teaching post, he accepted a position as technical assistant in the Swiss Patent Office.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
45,In 1905 he obtained his doctor’s degree.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[{""triple"": [""he"", ""obtained"", ""his doctor\u2019s degree""], ""label"": ""entailment"", ""confidence"": 0.9184}]",1
46,"During his stay at the Patent Office, and in his spare time, he produced much of his remarkable work and in 1908 he was appointed Privatdozent in Berne.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
47,"In 1909 he became Professor Extraordinary at Zurich, in 1911 Professor of Theoretical Physics at Prague, returning to Zurich in the following year to fill a similar post.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
48,In 1914 he was appointed Director of the Kaiser Wilhelm Physical Institute and Professor in the University of Berlin.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
49,He became a German citizen in 1914 and remained in Berlin until 1933 when he renounced his citizenship for political reasons and emigrated to America to take the position of Professor of Theoretical Physics at Princeton * .,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
50,He became a United States citizen in 1940 and retired from his post in 1945.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
51,"After World War II, Einstein was a leading figure in the World Government Movement, he was offered the Presidency of the State of Israel, which he declined, and he collaborated with Dr. Chaim Weizmann in establishing the Hebrew University of Jerusalem.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
52,Einstein always appeared to have a clear view of the problems of physics and the determination to solve them.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
53,He had a strategy of his own and was able to visualize the main stages on the way to his goal.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
54,He regarded his major achievements as mere stepping-stones for the next advance.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
55,"At the start of his scientific work, Einstein realized the inadequacies of Newtonian mechanics and his special theory of relativity stemmed from an attempt to reconcile the laws of mechanics with the laws of the electromagnetic field.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[{""triple"": [""Einstein"", ""realized"", ""the inadequacies of Newtonian mechanics""], ""label"": ""entailment"", ""confidence"": 0.679}, {""triple"": [""Einstein's special theory of relativity"", ""stemmed from"", ""an attempt to reconcile the laws of mechanics with the laws of the electromagnetic field""], ""label"": ""entailment"", ""confidence"": 0.6576}]",2
56,He dealt with classical problems of statistical mechanics and problems in which they were merged with quantum theory: this led to an explanation of the Brownian movement of molecules.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[{""triple"": [""He"", ""dealt with"", ""classical problems of statistical mechanics""], ""label"": ""entailment"", ""confidence"": 0.717}, {""triple"": [""He"", ""dealt with"", ""problems in which they were merged with quantum theory""], ""label"": ""entailment"", ""confidence"": 0.717}, {""triple"": [""He"", ""led to"", ""an explanation of the Brownian movement of molecules""], ""label"": ""entailment"", ""confidence"": 0.717}]",3
57,He investigated the thermal properties of light with a low radiation density and his observations laid the foundation of the photon theory of light.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[{""triple"": [""He"", ""investigated"", ""the thermal properties of light""], ""label"": ""entailment"", ""confidence"": 0.74}, {""triple"": [""He"", ""laid the foundation of"", ""the photon theory of light""], ""label"": ""entailment"", ""confidence"": 0.74}, {""triple"": [""He"", ""made observations"", ""the thermal properties of light""], ""label"": ""entailment"", ""confidence"": 0.69}]",3
58,"In his early days in Berlin, Einstein postulated that the correct interpretation of the special theory of relativity must also furnish a theory of gravitation and in 1916 he published his paper on the general theory of relativity.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[{""triple"": [""Einstein"", ""was in"", ""Berlin""], ""label"": ""entailment"", ""confidence"": 0.7606}, {""triple"": [""Einstein"", ""postulated"", ""the correct interpretation of the special theory of relativity""], ""label"": ""entailment"", ""confidence"": 0.7606}, {""triple"": [""Einstein"", ""must furnish"", ""a theory of gravitation""], ""label"": ""entailment"", ""confidence"": 0.7606}, {""triple"": [""Einstein"", ""published"", ""his paper on the general theory of relativity""], ""label"": ""entailment"", ""confidence"": 0.7606}, {""triple"": [""Einstein"", ""published"", ""his paper in 1916""], ""label"": ""entailment"", ""confidence"": 0.7606}, {""triple"": [""Einstein"", ""published"", ""his paper""], ""label"": ""entailment"", ""confidence"": 0.7606}]",6
59,During this time he also contributed to the problems of the theory of radiation and statistical mechanics.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
60,"In the 1920s, Einstein embarked on the construction of unified field theories, although he continued to work on the probabilistic interpretation of quantum theory, and he persevered with this work in America.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
61,He contributed to statistical mechanics by his development of the quantum theory of a monatomic gas and he has also accomplished valuable work in connection with atomic transition probabilities and relativistic cosmology.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[{""triple"": [""He"", ""contributed to"", ""statistical mechanics""], ""label"": ""entailment"", ""confidence"": 0.7909}, {""triple"": [""He"", ""developed"", ""the quantum theory of a monatomic gas""], ""label"": ""entailment"", ""confidence"": 0.7409}, {""triple"": [""He"", ""accomplished valuable work in connection with"", ""atomic transition probabilities""], ""label"": ""entailment"", ""confidence"": 0.7909}, {""triple"": [""He"", ""accomplished valuable work in connection with"", ""relativistic cosmology""], ""label"": ""entailment"", ""confidence"": 0.7909}]",4
62,"After his retirement he continued to work towards the unification of the basic concepts of physics, taking the opposite approach, geometrisation, to the majority of physicists.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
63,"Einstein’s researches are, of course, well chronicled and his more important works include Special Theory of Relativity , Relativity , General Theory of Relativity , Investigations on Theory of Brownian Movement , and The Evolution of Physics .",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[{""triple"": [""Einstein's researches"", ""include"", ""Special Theory of Relativity""], ""label"": ""entailment"", ""confidence"": 0.814}, {""triple"": [""Einstein's researches"", ""include"", ""Relativity""], ""label"": ""entailment"", ""confidence"": 0.814}, {""triple"": [""Einstein's researches"", ""include"", ""General Theory of Relativity""], ""label"": ""entailment"", ""confidence"": 0.814}, {""triple"": [""Einstein's researches"", ""include"", ""Investigations on Theory of Brownian Movement""], ""label"": ""entailment"", ""confidence"": 0.814}, {""triple"": [""Einstein's researches"", ""include"", ""The Evolution of Physics""], ""label"": ""entailment"", ""confidence"": 0.814}]",5
64,"Among his non-scientific works, About Zionism , Why War? , My Philosophy , and Out of My Later Years are perhaps the most important.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[{""triple"": [""About Zionism, Why War?, My Philosophy, and Out of My Later Years"", ""are"", ""perhaps the most important non-scientific works of""], ""label"": ""entailment"", ""confidence"": 0.6702}, {""triple"": [""About Zionism, Why War?, My Philosophy, and Out of My Later Years"", ""are"", ""perhaps the most important""], ""label"": ""entailment"", ""confidence"": 0.6702}, {""triple"": [""About Zionism, Why War?, My Philosophy, and Out of My Later Years"", ""are"", ""his""], ""label"": ""entailment"", ""confidence"": 0.6702}]",3
65,"Albert Einstein received honorary doctorate degrees in science, medicine and philosophy from many European and American universities.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[{""triple"": [""Albert Einstein"", ""received honorary doctorate degrees in"", ""science""], ""label"": ""entailment"", ""confidence"": 0.8307}, {""triple"": [""Albert Einstein"", ""received honorary doctorate degrees in"", ""medicine""], ""label"": ""entailment"", ""confidence"": 0.8307}, {""triple"": [""Albert Einstein"", ""received honorary doctorate degrees in"", ""philosophy""], ""label"": ""entailment"", ""confidence"": 0.8307}, {""triple"": [""Albert Einstein"", ""received honorary doctorate degrees from"", ""many European and American universities""], ""label"": ""entailment"", ""confidence"": 0.8307}]",4
66,"During the 1920’s he lectured in Europe, America and the Far East, and he was awarded Fellowships or Memberships of all the leading scientific academies throughout the world.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[{""triple"": [""he"", ""lectured in"", ""Europe""], ""label"": ""entailment"", ""confidence"": 0.7309}, {""triple"": [""he"", ""lectured in"", ""America""], ""label"": ""entailment"", ""confidence"": 0.7309}, {""triple"": [""he"", ""lectured in"", ""the Far East""], ""label"": ""entailment"", ""confidence"": 0.7309}, {""triple"": [""he"", ""was awarded Fellowships or Memberships of"", ""all the leading scientific academies throughout the world""], ""label"": ""entailment"", ""confidence"": 0.7309}]",4
67,"He gained numerous awards in recognition of his work, including the Copley Medal of the Royal Society of London in 1925, and the Franklin Medal of the Franklin Institute in 1935.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[{""triple"": [""He"", ""gained"", ""numerous awards""], ""label"": ""entailment"", ""confidence"": 0.7024}, {""triple"": [""He"", ""gained"", ""the Copley Medal""], ""label"": ""entailment"", ""confidence"": 0.7024}, {""triple"": [""He"", ""received"", ""the Copley Medal of the Royal Society of London in 1925""], ""label"": ""entailment"", ""confidence"": 0.6649}, {""triple"": [""He"", ""received"", ""the Copley Medal of the Royal Society of London""], ""label"": ""entailment"", ""confidence"": 0.6595}, {""triple"": [""He"", ""received"", ""the Copley Medal of the Royal Society of London in 1925 in recognition of his work""], ""label"": ""entailment"", ""confidence"": 0.6751}, {""triple"": [""He"", ""gained"", ""the Franklin Medal""], ""label"": ""entailment"", ""confidence"": 0.7024}, {""triple"": [""He"", ""received"", ""the Franklin Medal of the Franklin Institute in 1935""], ""label"": ""entailment"", ""confidence"": 0.6524}, {""triple"": [""He"", ""received"", ""the Franklin Medal of the Franklin Institute in 1935 in recognition of his work""], ""label"": ""entailment"", ""confidence"": 0.6691}]",8
68,"Einstein’s gifts inevitably resulted in his dwelling much in intellectual solitude and, for relaxation, music played an important part in his life.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
69,"He married Mileva Maric in 1903 and they had a daughter and two sons; their marriage was dissolved in 1919 and in the same year he married his cousin, Elsa Löwenthal, who died in 1936.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
70,"He died on April 18, 1955 at Princeton, New Jersey.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
71,"This autobiography/biography was written 
 at the time of the award and first
 published in the book series Les Prix Nobel .",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[{""triple"": [""autobiography/biography"", ""was written"", ""at the time of the award""], ""label"": ""entailment"", ""confidence"": 0.6609}, {""triple"": [""autobiography/biography"", ""was published in"", ""book series Les Prix Nobel""], ""label"": ""entailment"", ""confidence"": 0.6609}]",2
72,It was later edited and republished in Nobel Lectures .,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
73,"To cite this document, always state the source as shown above.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
74,"Albert Einstein was formally associated with the Institute for Advanced Study located in Princeton, New Jersey.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[{""triple"": [""Albert Einstein"", ""was formally associated with"", ""the Institute for Advanced Study""], ""label"": ""entailment"", ""confidence"": 0.8389}, {""triple"": [""the Institute for Advanced Study"", ""is located in"", ""Princeton, New Jersey""], ""label"": ""entailment"", ""confidence"": 0.8389}]",2
75,Six prizes were awarded for achievements that have conferred the greatest benefit to humankind.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
76,The 14 laureates' work and discoveries range from quantum tunnelling to promoting democratic rights.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
77,"Jalāl al-Dīn Muḥammad Rūmī, commonly known as Rumi , was a Sufi mystic, poet, and founder of the Islamic brotherhood known as the Mevlevi Order.",Rumi,"[{""triple"": [""Jal\u0101l al-D\u012bn Mu\u1e25ammad R\u016bm\u012b"", ""was"", ""a Sufi mystic, poet, and founder of the Islamic brotherhood known as the Mevlevi Order""], ""label"": ""entailment"", ""confidence"": 0.7274}, {""triple"": [""Jal\u0101l al-D\u012bn Mu\u1e25ammad R\u016bm\u012b"", ""was known as"", ""Rumi""], ""label"": ""entailment"", ""confidence"": 0.7274}, {""triple"": [""Jal\u0101l al-D\u012bn Mu\u1e25ammad R\u016bm\u012b"", ""was the founder of"", ""the Mevlevi Order""], ""label"": ""entailment"", ""confidence"": 0.7274}]",3
78,"Rumi is an influential figure in Sufism, and his thought and works loom large both in Persian literature and mystic poetry in general.",Rumi,"[{""triple"": [""Rumi"", ""is an influential figure in"", ""Sufism""], ""label"": ""entailment"", ""confidence"": 0.7553}, {""triple"": [""Rumi"", ""loom large in"", ""Persian literature""], ""label"": ""entailment"", ""confidence"": 0.7553}, {""triple"": [""Rumi"", ""loom large in"", ""mystic poetry""], ""label"": ""entailment"", ""confidence"": 0.7553}]",3
79,"Today, his translated works are enjoyed all over the world.",Rumi,[],0
80,The rapidly advancing Mongol hordes forced his family to flee west early on in his life.,Rumi,[],0
81,"After spending time in various cities across Iran, Baghdad, and Damascus, he settled in Konya with his family at age 19.",Rumi,[],0
82,"Until recently, Konya had been a province of the Eastern Roman Empire, hence his name, Rumi, i.e. ""the Roman"".",Rumi,"[{""triple"": [""Konya"", ""had been a province of"", ""the Eastern Roman Empire""], ""label"": ""entailment"", ""confidence"": 0.6729}, {""triple"": [""Konya"", ""hence his name"", ""Rumi""], ""label"": ""entailment"", ""confidence"": 0.6729}]",2
83,"Although he was exposed to Sufi thought from his early childhood, he was expected to follow his fathers footsteps as an Islamic scholar.",Rumi,[],0
84,"However, the arrival to Konya of the mysterious wandering dervish, Shams Tabrīzī, would alter the course of his life permanently.",Rumi,[],0
85,"Rumi and Shams became infatuated with each other, causing Rumi to neglect his duties.",Rumi,[],0
86,"When Shams mysteriously disappeared, Rumi experienced an intense period of grief reflected in his Divan of Shams Tabrīzī.",Rumi,[],0
87,"This was the defining moment in the evolution of Rumi's spiritual worldview, and marked the beginning of his poetic output.",Rumi,[],0
88,"His Masnavi, often called a ""Qur'an in Persian"", is considered one of the greatest poems of the Persian language.",Rumi,"[{""triple"": [""His Masnavi"", ""is considered one of the greatest poems of"", ""the Persian language""], ""label"": ""entailment"", ""confidence"": 0.7001}, {""triple"": [""His Masnavi"", ""is often called a"", ""Qur'an in Persian""], ""label"": ""entailment"", ""confidence"": 0.7001}]",2
89,"Many Muslims, particularly in the Turko-Persian cultural sphere, regard the Masnavi as one of the most important works of Islamic literature, falling behind only the Quran.",Rumi,"[{""triple"": [""Masnavi"", ""is considered one of the most important works of"", ""Islamic literature""], ""label"": ""entailment"", ""confidence"": 0.7378}, {""triple"": [""Masnavi"", ""falls behind"", ""Quran""], ""label"": ""entailment"", ""confidence"": 0.7003}]",2
