sentence_id,sentence,source,triples,triple_count
28,"Life and career
Childhood, youth and education
Einstein was born in Ulm as a subject to the Kingdom of Württemberg in the German Empire on 14 March 1879.",Albert Einstein,"[[""Einstein"", ""was born in"", ""Ulm""], [""Einstein"", ""was a subject to"", ""the Kingdom of Württemberg""], [""Einstein"", ""was in"", ""the German Empire""]]",3
29,"His parents, secular Ashkenazi Jews, were Hermann Einstein, a salesman and engineer, and Pauline Koch.",Albert Einstein,"[[""Hermann Einstein"", ""is a parent of"", ""His parents""], [""Hermann Einstein"", ""is a parent of"", ""Ashkenazi Jews""], [""Hermann Einstein"", ""is a parent of"", ""Pauline Koch""], [""Pauline Koch"", ""is a parent of"", ""His parents""], [""Pauline Koch"", ""is a parent of"", ""Ashkenazi Jews""], [""Pauline Koch"", ""is a parent of"", ""Hermann Einstein""]]",6
30,"In 1880, the family moved to Munich's borough of Ludwigsvorstadt-Isarvorstadt, where Einstein's father and his uncle Jakob founded Elektrotechnische Fabrik J. Einstein & Cie, a company that manufactured electrical equipment based on direct current.",Albert Einstein,"[[""Einstein's father"", ""founded"", ""Elektrotechnische Fabrik J. Einstein & Cie""], [""Einstein's father"", ""and his uncle Jakob"", ""founded""], [""Einstein's father and his uncle Jakob"", ""founded"", ""Elektrotechnische Fabrik J. Einstein & Cie""], [""Einstein's father and his uncle Jakob"", ""founded"", ""a company""], [""Einstein's father and his uncle Jakob"", ""manufactured"", ""electrical equipment""], [""Einstein's father and his uncle Jakob"", ""manufactured"", ""based on direct current""], [""Einstein's father and his uncle Jakob"", ""manufactured"", ""electrical equipment based on direct current""], [""Einstein's father and his uncle Jakob"", ""founded"", ""a company that manufactured electrical equipment based on direct current""], [""Einstein's father and his uncle Jakob"", ""founded Elektrotechnische Fabrik J. Einstein & Cie"", ""a company that manufactured electrical equipment based on direct current""], [""Einstein's father and his uncle Jakob"", ""founded Elektrotechnische Fabrik J. Einstein & Cie"", ""in Munich's borough of Ludwigsvorstadt-Isarvorstadt""], [""Einstein's father and his uncle Jakob"", ""founded Elektrotechnische Fabrik J. Einstein & Cie"", ""in 1880""]]",11
31,"When he was very young, his parents worried that he had a learning disability because he was very slow to learn to talk.",Albert Einstein,"[[""he"", ""was very slow to learn to talk"", ""to talk""], [""he"", ""had"", ""a learning disability""], [""his parents"", ""worried"", ""that he had a learning disability""]]",3
32,"When he was five and sick in bed, his father brought him a compass.",Albert Einstein,"[[""he"", ""was"", ""five""], [""he"", ""was"", ""sick in bed""], [""his father"", ""brought"", ""him""], [""his father"", ""brought"", ""a compass""]]",4
33,This sparked his lifelong fascination with electromagnetism.,Albert Einstein,[],0
34,"He realized that ""Something deeply hidden had to be behind things.",Albert Einstein,[],0
35,"""
Einstein attended St. Peter's Catholic elementary school in Munich from the age of five.",Albert Einstein,"[[""Einstein"", ""attended"", ""St. Peter's Catholic elementary school""], [""Einstein"", ""was from"", ""Munich""], [""Einstein"", ""was"", ""five years old""]]",3
36,"When he was eight, he was transferred to the Luitpold Gymnasium, where he received advanced primary and then secondary school education.",Albert Einstein,"[[""he"", ""was transferred to"", ""the Luitpold Gymnasium""], [""he"", ""received"", ""advanced primary and then secondary school education""]]",2
37,"In 1894, Hermann and Jakob's company tendered for a contract to install electric lighting in Munich, but without success—they lacked the capital that would have been required to update their technology from direct current to the more efficient, alternating current alternative.",Albert Einstein,"[[""Hermann and Jakob's company"", ""tendered for"", ""a contract to install electric lighting in Munich""], [""Hermann and Jakob's company"", ""lacked"", ""the capital that would have been required to update their technology from direct current to the more efficient, alternating current alternative""]]",2
38,The failure of their bid forced them to sell their Munich factory and search for new opportunities elsewhere.,Albert Einstein,"[[""them"", ""were forced to sell"", ""their Munich factory""], [""them"", ""had to search for"", ""new opportunities elsewhere""]]",2
39,"The Einstein family moved to Italy, first to Milan and a few months later to Pavia, where they settled in Palazzo Cornazzani.",Albert Einstein,"[[""Einstein family"", ""moved to"", ""Italy""], [""Einstein family"", ""moved to"", ""Milan""], [""Einstein family"", ""moved to"", ""Pavia""], [""Einstein family"", ""settled in"", ""Palazzo Cornazzani""]]",4
40,"Einstein, then fifteen, stayed behind in Munich in order to finish his schooling.",Albert Einstein,"[[""Einstein"", ""was fifteen"", ""then""], [""Einstein"", ""stayed behind in"", ""Munich""], [""Einstein"", ""finished"", ""his schooling""]]",3
41,"Questions and Answers on Albert Einstein
A lbert Einstein was born at Ulm, in Württemberg, Germany, on March 14, 1879.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[[""Albert Einstein"", ""was born at"", ""Ulm""], [""Albert Einstein"", ""was born in"", ""Württemberg""], [""Albert Einstein"", ""was born in"", ""Germany""]]",3
42,"Six weeks later the family moved to Munich, where he later on began his schooling at the Luitpold Gymnasium.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[[""he"", ""began"", ""his schooling""], [""he"", ""began"", ""schooling at the Luitpold Gymnasium""], [""the family"", ""moved to"", ""Munich""]]",3
43,"Later, they moved to Italy and Albert continued his education at Aarau, Switzerland and in 1896 he entered the Swiss Federal Polytechnic School in Zurich to be trained as a teacher in physics and mathematics.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[[""Albert"", ""continued his education at"", ""Aarau, Switzerland""], [""Albert"", ""entered"", ""the Swiss Federal Polytechnic School in Zurich""]]",2
44,"In 1901, the year he gained his diploma, he acquired Swiss citizenship and, as he was unable to find a teaching post, he accepted a position as technical assistant in the Swiss Patent Office.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[[""he"", ""acquired"", ""Swiss citizenship""], [""he"", ""accepted"", ""a position as technical assistant in the Swiss Patent Office""]]",2
45,In 1905 he obtained his doctor’s degree.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[[""he"", ""obtained"", ""his doctor’s degree""]]",1
46,"During his stay at the Patent Office, and in his spare time, he produced much of his remarkable work and in 1908 he was appointed Privatdozent in Berne.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[[""he"", ""produced"", ""his remarkable work""], [""he"", ""was appointed"", ""Privatdozent in Berne""], [""he"", ""was appointed"", ""Privatdozent""], [""he"", ""stayed at"", ""the Patent Office""]]",4
47,"In 1909 he became Professor Extraordinary at Zurich, in 1911 Professor of Theoretical Physics at Prague, returning to Zurich in the following year to fill a similar post.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[[""he"", ""became"", ""Professor Extraordinary at Zurich""], [""he"", ""became"", ""Professor of Theoretical Physics at Prague""], [""he"", ""returned to"", ""Zurich""]]",3
48,In 1914 he was appointed Director of the Kaiser Wilhelm Physical Institute and Professor in the University of Berlin.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[[""he"", ""was appointed Director of"", ""the Kaiser Wilhelm Physical Institute""], [""he"", ""was appointed Professor in"", ""the University of Berlin""]]",2
49,He became a German citizen in 1914 and remained in Berlin until 1933 when he renounced his citizenship for political reasons and emigrated to America to take the position of Professor of Theoretical Physics at Princeton * .,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[[""He"", ""became a German citizen in"", ""1914""], [""He"", ""remained in"", ""Berlin""], [""He"", ""renounced his citizenship for"", ""political reasons""], [""He"", ""emigrated to"", ""America""], [""He"", ""took the position of"", ""Professor of Theoretical Physics at Princeton""]]",5
50,He became a United States citizen in 1940 and retired from his post in 1945.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[[""He"", ""became a"", ""United States citizen""], [""He"", ""retired from"", ""his post""]]",2
51,"After World War II, Einstein was a leading figure in the World Government Movement, he was offered the Presidency of the State of Israel, which he declined, and he collaborated with Dr. Chaim Weizmann in establishing the Hebrew University of Jerusalem.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[[""Einstein"", ""was a leading figure in"", ""World Government Movement""], [""Einstein"", ""was offered the Presidency of"", ""State of Israel""], [""Einstein"", ""declined"", ""Presidency of State of Israel""], [""Einstein"", ""collaborated with"", ""Dr. Chaim Weizmann""], [""Einstein"", ""collaborated in establishing"", ""Hebrew University of Jerusalem""], [""Einstein"", ""collaborated with Dr. Chaim Weizmann in establishing"", ""Hebrew University of Jerusalem""]]",6
52,Einstein always appeared to have a clear view of the problems of physics and the determination to solve them.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
53,He had a strategy of his own and was able to visualize the main stages on the way to his goal.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
54,He regarded his major achievements as mere stepping-stones for the next advance.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
55,"At the start of his scientific work, Einstein realized the inadequacies of Newtonian mechanics and his special theory of relativity stemmed from an attempt to reconcile the laws of mechanics with the laws of the electromagnetic field.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[[""Einstein"", ""realized"", ""the inadequacies of Newtonian mechanics""], [""Einstein's special theory of relativity"", ""stemmed from"", ""an attempt to reconcile the laws of mechanics with the laws of the electromagnetic field""]]",2
56,He dealt with classical problems of statistical mechanics and problems in which they were merged with quantum theory: this led to an explanation of the Brownian movement of molecules.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[[""He"", ""dealt with"", ""classical problems of statistical mechanics""], [""He"", ""dealt with"", ""problems in which they were merged with quantum theory""], [""He"", ""led to"", ""an explanation of the Brownian movement of molecules""]]",3
57,He investigated the thermal properties of light with a low radiation density and his observations laid the foundation of the photon theory of light.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[[""He"", ""investigated"", ""the thermal properties of light""], [""He"", ""laid the foundation of"", ""the photon theory of light""], [""He"", ""made observations"", ""the thermal properties of light""]]",3
58,"In his early days in Berlin, Einstein postulated that the correct interpretation of the special theory of relativity must also furnish a theory of gravitation and in 1916 he published his paper on the general theory of relativity.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[[""Einstein"", ""was in"", ""Berlin""], [""Einstein"", ""postulated"", ""the correct interpretation of the special theory of relativity""], [""Einstein"", ""must furnish"", ""a theory of gravitation""], [""Einstein"", ""published"", ""his paper on the general theory of relativity""], [""Einstein"", ""published"", ""his paper in 1916""], [""Einstein"", ""published"", ""his paper""]]",6
59,During this time he also contributed to the problems of the theory of radiation and statistical mechanics.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
60,"In the 1920s, Einstein embarked on the construction of unified field theories, although he continued to work on the probabilistic interpretation of quantum theory, and he persevered with this work in America.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[[""Einstein"", ""embarked on the construction of"", ""unified field theories""], [""Einstein"", ""continued to work on"", ""the probabilistic interpretation of quantum theory""], [""Einstein"", ""persevered with"", ""this work in America""]]",3
61,He contributed to statistical mechanics by his development of the quantum theory of a monatomic gas and he has also accomplished valuable work in connection with atomic transition probabilities and relativistic cosmology.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[[""He"", ""contributed to"", ""statistical mechanics""], [""He"", ""developed"", ""the quantum theory of a monatomic gas""], [""He"", ""accomplished valuable work in connection with"", ""atomic transition probabilities""], [""He"", ""accomplished valuable work in connection with"", ""relativistic cosmology""]]",4
62,"After his retirement he continued to work towards the unification of the basic concepts of physics, taking the opposite approach, geometrisation, to the majority of physicists.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
63,"Einstein’s researches are, of course, well chronicled and his more important works include Special Theory of Relativity , Relativity , General Theory of Relativity , Investigations on Theory of Brownian Movement , and The Evolution of Physics .",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[[""Einstein's researches"", ""include"", ""Special Theory of Relativity""], [""Einstein's researches"", ""include"", ""Relativity""], [""Einstein's researches"", ""include"", ""General Theory of Relativity""], [""Einstein's researches"", ""include"", ""Investigations on Theory of Brownian Movement""], [""Einstein's researches"", ""include"", ""The Evolution of Physics""]]",5
64,"Among his non-scientific works, About Zionism , Why War? , My Philosophy , and Out of My Later Years are perhaps the most important.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[[""About Zionism, Why War?, My Philosophy, and Out of My Later Years"", ""are"", ""perhaps the most important non-scientific works of""], [""About Zionism, Why War?, My Philosophy, and Out of My Later Years"", ""are"", ""perhaps the most important""], [""About Zionism, Why War?, My Philosophy, and Out of My Later Years"", ""are"", ""his""]]",3
65,"Albert Einstein received honorary doctorate degrees in science, medicine and philosophy from many European and American universities.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[[""Albert Einstein"", ""received honorary doctorate degrees in"", ""science""], [""Albert Einstein"", ""received honorary doctorate degrees in"", ""medicine""], [""Albert Einstein"", ""received honorary doctorate degrees in"", ""philosophy""], [""Albert Einstein"", ""received honorary doctorate degrees from"", ""many European and American universities""]]",4
66,"During the 1920’s he lectured in Europe, America and the Far East, and he was awarded Fellowships or Memberships of all the leading scientific academies throughout the world.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[[""he"", ""lectured in"", ""Europe""], [""he"", ""lectured in"", ""America""], [""he"", ""lectured in"", ""the Far East""], [""he"", ""was awarded Fellowships or Memberships of"", ""all the leading scientific academies throughout the world""]]",4
67,"He gained numerous awards in recognition of his work, including the Copley Medal of the Royal Society of London in 1925, and the Franklin Medal of the Franklin Institute in 1935.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[[""He"", ""gained"", ""numerous awards""], [""He"", ""gained"", ""the Copley Medal""], [""He"", ""was recognized by"", ""the Royal Society of London""], [""He"", ""received"", ""the Copley Medal""], [""He"", ""received"", ""the Copley Medal of the Royal Society of London in 1925""], [""He"", ""received"", ""the Copley Medal in 1925""], [""He"", ""received"", ""the Copley Medal of the Royal Society of London""], [""He"", ""received"", ""the Copley Medal in 1925 from the Royal Society of London""], [""He"", ""received"", ""the Copley Medal of the Royal Society of London in 1925 in recognition of his work""], [""He"", ""gained"", ""the Franklin Medal""], [""He"", ""was recognized by"", ""the Franklin Institute""], [""He"", ""received"", ""the Franklin Medal""], [""He"", ""received"", ""the Franklin Medal of the Franklin Institute in 1935""], [""He"", ""received"", ""the Franklin Medal in 1935""], [""He"", ""received"", ""the Franklin Medal of the Franklin Institute""], [""He"", ""received"", ""the Franklin Medal in 1935 from the Franklin Institute""], [""He"", ""received"", ""the Franklin Medal of the Franklin Institute in 1935 in recognition of his work""]]",17
68,"Einstein’s gifts inevitably resulted in his dwelling much in intellectual solitude and, for relaxation, music played an important part in his life.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
69,"He married Mileva Maric in 1903 and they had a daughter and two sons; their marriage was dissolved in 1919 and in the same year he married his cousin, Elsa Löwenthal, who died in 1936.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
70,"He died on April 18, 1955 at Princeton, New Jersey.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[[""He"", ""died on"", ""April 18, 1955""], [""He"", ""died at"", ""Princeton, New Jersey""]]",2
71,"This autobiography/biography was written 
 at the time of the award and first
 published in the book series Les Prix Nobel .",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[[""autobiography/biography"", ""was written"", ""at the time of the award""], [""autobiography/biography"", ""was published in"", ""book series Les Prix Nobel""]]",2
72,It was later edited and republished in Nobel Lectures .,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
73,"To cite this document, always state the source as shown above.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
74,"Albert Einstein was formally associated with the Institute for Advanced Study located in Princeton, New Jersey.",https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"[[""Albert Einstein"", ""was formally associated with"", ""the Institute for Advanced Study""], [""the Institute for Advanced Study"", ""is located in"", ""Princeton, New Jersey""]]",2
75,Six prizes were awarded for achievements that have conferred the greatest benefit to humankind.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
76,The 14 laureates' work and discoveries range from quantum tunnelling to promoting democratic rights.,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,[],0
77,"Jalāl al-Dīn Muḥammad Rūmī, commonly known as Rumi , was a Sufi mystic, poet, and founder of the Islamic brotherhood known as the Mevlevi Order.",Rumi,"[[""Jalāl al-Dīn Muḥammad Rūmī"", ""was"", ""a Sufi mystic, poet, and founder of the Islamic brotherhood known as the Mevlevi Order""], [""Jalāl al-Dīn Muḥammad Rūmī"", ""was known as"", ""Rumi""], [""Jalāl al-Dīn Muḥammad Rūmī"", ""was the founder of"", ""the Mevlevi Order""]]",3
78,"Rumi is an influential figure in Sufism, and his thought and works loom large both in Persian literature and mystic poetry in general.",Rumi,"[[""Rumi"", ""is an influential figure in"", ""Sufism""], [""Rumi"", ""loom large in"", ""Persian literature""], [""Rumi"", ""loom large in"", ""mystic poetry""]]",3
79,"Today, his translated works are enjoyed all over the world.",Rumi,[],0
80,The rapidly advancing Mongol hordes forced his family to flee west early on in his life.,Rumi,"[[""The Mongol hordes"", ""forced"", ""his family""], [""his family"", ""flee"", ""west""]]",2
81,"After spending time in various cities across Iran, Baghdad, and Damascus, he settled in Konya with his family at age 19.",Rumi,"[[""he"", ""settled in"", ""Konya""], [""he"", ""spent time in"", ""Baghdad""], [""he"", ""spent time in"", ""Damascus""], [""he"", ""spent time in"", ""various cities across Iran""]]",4
82,"Until recently, Konya had been a province of the Eastern Roman Empire, hence his name, Rumi, i.e. ""the Roman"".",Rumi,"[[""Konya"", ""had been a province of"", ""the Eastern Roman Empire""], [""Konya"", ""hence his name"", ""Rumi""], [""Rumi"", ""is a name meaning"", ""the Roman""]]",3
83,"Although he was exposed to Sufi thought from his early childhood, he was expected to follow his fathers footsteps as an Islamic scholar.",Rumi,"[[""he"", ""was exposed to"", ""Sufi thought""], [""he"", ""was expected to follow"", ""his fathers footsteps""], [""he"", ""was expected to be"", ""an Islamic scholar""]]",3
84,"However, the arrival to Konya of the mysterious wandering dervish, Shams Tabrīzī, would alter the course of his life permanently.",Rumi,"[[""Shams Tabrīzī"", ""arrive to"", ""Konya""], [""Shams Tabrīzī"", ""alter the course of"", ""his life""]]",2
85,"Rumi and Shams became infatuated with each other, causing Rumi to neglect his duties.",Rumi,"[[""Rumi"", ""became infatuated with"", ""Shams""], [""Rumi"", ""neglected"", ""his duties""]]",2
86,"When Shams mysteriously disappeared, Rumi experienced an intense period of grief reflected in his Divan of Shams Tabrīzī.",Rumi,"[[""Shams"", ""disappeared"", ""Rumi""], [""Rumi"", ""experienced"", ""grief""], [""Rumi"", ""reflected"", ""grief""], [""Rumi"", ""reflected"", ""Divan of Shams Tabrīzī""]]",4
87,"This was the defining moment in the evolution of Rumi's spiritual worldview, and marked the beginning of his poetic output.",Rumi,[],0
88,"His Masnavi, often called a ""Qur'an in Persian"", is considered one of the greatest poems of the Persian language.",Rumi,"[[""His Masnavi"", ""is considered one of the greatest poems of"", ""the Persian language""], [""His Masnavi"", ""is often called a"", ""Qur'an in Persian""]]",2
89,"Many Muslims, particularly in the Turko-Persian cultural sphere, regard the Masnavi as one of the most important works of Islamic literature, falling behind only the Quran.",Rumi,"[[""Masnavi"", ""is considered one of the most important works of"", ""Islamic literature""], [""Masnavi"", ""falls behind"", ""Quran""]]",2
90,"Rumi's works are widely read today across his native Greater Iran as well as in Turkey, where the Sufi brotherhood he founded is based.",Rumi,"[[""Rumi"", ""is based in"", ""Turkey""], [""Rumi"", ""founded"", ""the Sufi brotherhood""], [""Rumi's works"", ""are widely read today"", ""across his native Greater Iran""], [""Rumi's works"", ""are widely read today"", ""in Turkey""]]",4
91,"His poems have been translated into many of the world's languages, and Rumi has been described as the ""world's most popular poet.""",Rumi,"[[""Rumi"", ""has been described as"", ""the world's most popular poet""], [""His poems"", ""have been translated into"", ""many of the world's languages""]]",2
92,"In the United States, he has become the best selling poet in recent years.",Rumi,"[[""he"", ""has become"", ""the best selling poet""], [""he"", ""is in"", ""the United States""]]",2
93,"Name
He is most commonly called Rumi in English.",Rumi,[],0
94,He is more commonly known as Mawlānā Jalāl ad-Dīn Muḥammad Rūmī .,Rumi,[],0
95,"Jalal ad-Din is an Arabic name meaning ""Glory of the Faith"".",Rumi,[],0
96,"Balkhī and Rūmī are his nisbas, meaning, respectively, ""from Balkh"" and ""from Rûm"", as he was from the Sultanate of Rûm in Anatolia.",Rumi,"[[""he"", ""was from"", ""the Sultanate of Rûm in Anatolia""], [""Balkhī"", ""is a nisba of"", ""from Balkh""], [""Rūmī"", ""is a nisba of"", ""from Rûm""]]",3
